Item1,Item2,Item3,Item4,BestItem,WorstItem
гранж,панк-рок,блэк-метал,евродэнс,панк-рок,блэк-метал
гранж,панк-рок,блэк-метал,евродэнс,евродэнс,блэк-метал
EDM,альтернативный рок,Oi!,краут-рок,альтернативный рок,Oi!
гранж,панк-рок,блэк-метал,евродэнс,панк-рок,гранж
гранж,панк-рок,блэк-метал,евродэнс,панк-рок,гранж
гранж,панк-рок,блэк-метал,евродэнс,евродэнс,панк-рок
гранж,панк-рок,блэк-метал,евродэнс,гранж,панк-рок
EDM,альтернативный рок,Oi!,краут-рок,альтернативный рок,Oi!
EDM,альтернативный рок,Oi!,краут-рок,альтернативный рок,Oi!
психоделический рок,рэп,Neue Deutsche Härte,евродэнс,рэп,психоделический рок
психоделический рок,рэп,Neue Deutsche Härte,евродэнс,рэп,Neue Deutsche Härte
EDM,альтернативный рок,Oi!,краут-рок,альтернативный рок,Oi!
психоделический рок,рэп,Neue Deutsche Härte,евродэнс,евродэнс,психоделический рок
психоделический рок,рэп,Neue Deutsche Härte,евродэнс,психоделический рок,евродэнс
EDM,альтернативный рок,Oi!,краут-рок,краут-рок,EDM
EDM,альтернативный рок,Oi!,краут-рок,краут-рок,EDM
психоделический рок,рэп,Neue Deutsche Härte,евродэнс,психоделический рок,евродэнс
психоделический рок,рэп,Neue Deutsche Härte,евродэнс,рэп,евродэнс
хеви-метал,шлягер,Neue Deutsche Härte,ню-метал,Neue Deutsche Härte,шлягер
хеви-метал,шлягер,Neue Deutsche Härte,ню-метал,хеви-метал,шлягер
хеви-метал,шлягер,Neue Deutsche Härte,ню-метал,хеви-метал,шлягер
трэп,шлягер,блэк-метал,Neue Deutsche Welle,шлягер,Neue Deutsche Welle
хеви-метал,краут-рок,новая волна,EDM,хеви-метал,новая волна
трэп,шлягер,блэк-метал,Neue Deutsche Welle,блэк-метал,Neue Deutsche Welle
хеви-метал,шлягер,Neue Deutsche Härte,ню-метал,шлягер,ню-метал
хеви-метал,шлягер,Neue Deutsche Härte,ню-метал,шлягер,Neue Deutsche Härte
хеви-метал,шлягер,Neue Deutsche Härte,ню-метал,хеви-метал,шлягер
трэп,шлягер,блэк-метал,Neue Deutsche Welle,блэк-метал,трэп
хеви-метал,краут-рок,новая волна,EDM,хеви-метал,EDM
хеви-метал,краут-рок,новая волна,EDM,хеви-метал,новая волна
трэп,шлягер,блэк-метал,Neue Deutsche Welle,блэк-метал,Neue Deutsche Welle
трэп,шлягер,блэк-метал,Neue Deutsche Welle,шлягер,Neue Deutsche Welle
шугейзинг,альтернативный рок,гранж,шлягер,шлягер,альтернативный рок
хеви-метал,краут-рок,новая волна,EDM,хеви-метал,краут-рок
трэп,шлягер,блэк-метал,Neue Deutsche Welle,шлягер,блэк-метал
шугейзинг,альтернативный рок,гранж,шлягер,альтернативный рок,шлягер
шугейзинг,альтернативный рок,гранж,шлягер,альтернативный рок,шлягер
хеви-метал,краут-рок,новая волна,EDM,хеви-метал,EDM
шугейзинг,альтернативный рок,гранж,шлягер,шлягер,альтернативный рок
шугейзинг,альтернативный рок,гранж,шлягер,альтернативный рок,шугейзинг
шугейзинг,альтернативный рок,гранж,шлягер,альтернативный рок,шугейзинг
панк-рок,трэп,альтернативный рок,евродэнс,панк-рок,трэп
панк-рок,трэп,альтернативный рок,евродэнс,альтернативный рок,панк-рок
панк-рок,трэп,альтернативный рок,евродэнс,альтернативный рок,трэп
ню-метал,рэп,рок-музыка,панк-рок,рок-музыка,ню-метал
ню-метал,рэп,рок-музыка,панк-рок,рок-музыка,ню-метал
постпанк,метал,психоделический рок,Oi!,метал,Oi!
постпанк,метал,психоделический рок,Oi!,метал,Oi!
ню-метал,психоделический рок,постпанк,блэк-метал,психоделический рок,ню-метал
ню-метал,психоделический рок,постпанк,блэк-метал,блэк-метал,ню-метал
Neue Deutsche Härte,хип-хоп,EDM,шугейзинг,хип-хоп,Neue Deutsche Härte
Neue Deutsche Härte,хип-хоп,EDM,шугейзинг,хип-хоп,шугейзинг
Neue Deutsche Härte,хип-хоп,EDM,шугейзинг,хип-хоп,EDM
Neue Deutsche Härte,хип-хоп,EDM,шугейзинг,хип-хоп,Neue Deutsche Härte
ню-метал,постпанк,Neue Deutsche Welle,панк-рок,ню-метал,Neue Deutsche Welle
ню-метал,постпанк,Neue Deutsche Welle,панк-рок,панк-рок,Neue Deutsche Welle
ню-метал,постпанк,Neue Deutsche Welle,панк-рок,панк-рок,Neue Deutsche Welle
ню-метал,постпанк,Neue Deutsche Welle,панк-рок,панк-рок,Neue Deutsche Welle
трэп,психоделический рок,хеви-метал,EDM,хеви-метал,EDM
трэп,психоделический рок,хеви-метал,EDM,психоделический рок,трэп
психоделический рок,блэк-метал,Oi!,краут-рок,блэк-метал,Oi!
психоделический рок,блэк-метал,Oi!,краут-рок,психоделический рок,Oi!
панк-рок,постпанк,метал,трэп,панк-рок,трэп
панк-рок,постпанк,метал,трэп,метал,трэп
психоделический рок,блэк-метал,Oi!,краут-рок,блэк-метал,Oi!
хеви-метал,краут-рок,новая волна,EDM,хеви-метал,новая волна
постпанк,метал,психоделический рок,Oi!,метал,Oi!
постпанк,метал,психоделический рок,Oi!,метал,Oi!
постпанк,метал,психоделический рок,Oi!,метал,Oi!
постпанк,метал,психоделический рок,Oi!,метал,Oi!
ню-метал,психоделический рок,постпанк,блэк-метал,постпанк,ню-метал
ню-метал,психоделический рок,постпанк,блэк-метал,постпанк,ню-метал
ню-метал,психоделический рок,постпанк,блэк-метал,блэк-метал,постпанк
Neue Deutsche Härte,хип-хоп,EDM,шугейзинг,хип-хоп,EDM
Neue Deutsche Härte,хип-хоп,EDM,шугейзинг,хип-хоп,EDM
ню-метал,постпанк,Neue Deutsche Welle,панк-рок,панк-рок,Neue Deutsche Welle
ню-метал,постпанк,Neue Deutsche Welle,панк-рок,панк-рок,Neue Deutsche Welle
трэп,психоделический рок,хеви-метал,EDM,хеви-метал,EDM
трэп,психоделический рок,хеви-метал,EDM,хеви-метал,EDM
трэп,психоделический рок,хеви-метал,EDM,трэп,психоделический рок
психоделический рок,блэк-метал,Oi!,краут-рок,блэк-метал,краут-рок
панк-рок,постпанк,метал,трэп,метал,трэп
ню-метал,психоделический рок,постпанк,блэк-метал,блэк-метал,психоделический рок
трэп,психоделический рок,хеви-метал,EDM,хеви-метал,EDM
психоделический рок,блэк-метал,Oi!,краут-рок,блэк-метал,Oi!
панк-рок,постпанк,метал,трэп,панк-рок,трэп
панк-рок,постпанк,метал,трэп,метал,постпанк
психоделический рок,блэк-метал,Oi!,краут-рок,блэк-метал,Oi!
шугейзинг,панк-рок,хеви-метал,евродэнс,панк-рок,шугейзинг
шугейзинг,панк-рок,хеви-метал,евродэнс,хеви-метал,шугейзинг
шугейзинг,панк-рок,хеви-метал,евродэнс,хеви-метал,шугейзинг
шугейзинг,панк-рок,хеви-метал,евродэнс,панк-рок,евродэнс
шугейзинг,панк-рок,хеви-метал,евродэнс,хеви-метал,шугейзинг
евродэнс,блэк-метал,гранж,краут-рок,гранж,блэк-метал
евродэнс,блэк-метал,гранж,краут-рок,краут-рок,гранж
евродэнс,блэк-метал,гранж,краут-рок,евродэнс,гранж
евродэнс,блэк-метал,гранж,краут-рок,блэк-метал,евродэнс
евродэнс,блэк-метал,гранж,краут-рок,евродэнс,блэк-метал
блэк-метал,рэп,альтернативный рок,новая волна,блэк-метал,новая волна
блэк-метал,рэп,альтернативный рок,новая волна,блэк-метал,альтернативный рок
блэк-метал,рэп,альтернативный рок,новая волна,рэп,новая волна
блэк-метал,рэп,альтернативный рок,новая волна,блэк-метал,новая волна
