Item1,Item2,Item3,Item4,BestItem,WorstItem
пейзаж,"Карус, Карл Густав",Джон Мартин,Эмиль Якоб Шиндлер,Эмиль Якоб Шиндлер,пейзаж
пейзаж,"Карус, Карл Густав",Джон Мартин,Эмиль Якоб Шиндлер,Джон Мартин,Эмиль Якоб Шиндлер
пейзаж,"Карус, Карл Густав",Джон Мартин,Эмиль Якоб Шиндлер,"Карус, Карл Густав",пейзаж
пейзаж,"Карус, Карл Густав",Джон Мартин,Эмиль Якоб Шиндлер,Эмиль Якоб Шиндлер,Джон Мартин
пейзаж,"Карус, Карл Густав",Джон Мартин,Эмиль Якоб Шиндлер,пейзаж,Джон Мартин
пейзаж,"Карус, Карл Густав",Джон Мартин,Эмиль Якоб Шиндлер,"Карус, Карл Густав",пейзаж
Уильям Тёрнер,Джон Мартин,Эмиль Якоб Шиндлер,Каспар Давид Фридрих,Уильям Тёрнер,Эмиль Якоб Шиндлер
Уильям Тёрнер,Джон Мартин,Эмиль Якоб Шиндлер,Каспар Давид Фридрих,Эмиль Якоб Шиндлер,Джон Мартин
"Констебл, Джон","Черч, Фредерик Эдвин",Джон Мартин,Уильям Тёрнер,"Констебл, Джон",Джон Мартин
"Констебл, Джон","Черч, Фредерик Эдвин",Джон Мартин,Уильям Тёрнер,Уильям Тёрнер,Джон Мартин
Фриц Макензен,"Констебл, Джон",Уильям Тёрнер,Эмиль Якоб Шиндлер,Уильям Тёрнер,Фриц Макензен
Эмиль Якоб Шиндлер,"Рёйсдал, Якоб ван",пейзаж,"Попков, Виктор Ефимович",Эмиль Якоб Шиндлер,"Попков, Виктор Ефимович"
Фриц Макензен,"Констебл, Джон",Уильям Тёрнер,Эмиль Якоб Шиндлер,Уильям Тёрнер,Фриц Макензен
Фриц Макензен,"Констебл, Джон",Уильям Тёрнер,Эмиль Якоб Шиндлер,Уильям Тёрнер,Фриц Макензен
Эмиль Якоб Шиндлер,"Рёйсдал, Якоб ван",пейзаж,"Попков, Виктор Ефимович",Эмиль Якоб Шиндлер,пейзаж
Фриц Макензен,"Констебл, Джон",Уильям Тёрнер,Эмиль Якоб Шиндлер,Эмиль Якоб Шиндлер,Фриц Макензен
Эмиль Якоб Шиндлер,"Рёйсдал, Якоб ван",пейзаж,"Попков, Виктор Ефимович",Эмиль Якоб Шиндлер,пейзаж
пейзаж,"Райт, Джозеф",Джон Мартин,Эмиль Якоб Шиндлер,Эмиль Якоб Шиндлер,Джон Мартин
пейзаж,"Райт, Джозеф",Джон Мартин,Эмиль Якоб Шиндлер,пейзаж,Джон Мартин
пейзаж,"Райт, Джозеф",Джон Мартин,Эмиль Якоб Шиндлер,пейзаж,Эмиль Якоб Шиндлер
"Черч, Фредерик Эдвин","Райт, Джозеф","Николсон, Уильям",Фриц Макензен,"Райт, Джозеф",Фриц Макензен
"Черч, Фредерик Эдвин","Райт, Джозеф","Николсон, Уильям",Фриц Макензен,"Райт, Джозеф",Фриц Макензен
"Черч, Фредерик Эдвин","Райт, Джозеф","Николсон, Уильям",Фриц Макензен,"Черч, Фредерик Эдвин","Николсон, Уильям"
"Черч, Фредерик Эдвин","Райт, Джозеф","Николсон, Уильям",Фриц Макензен,Фриц Макензен,"Райт, Джозеф"
"Черч, Фредерик Эдвин",Фриц Макензен,"Карус, Карл Густав","Попков, Виктор Ефимович","Попков, Виктор Ефимович",Фриц Макензен
"Черч, Фредерик Эдвин",Фриц Макензен,"Карус, Карл Густав","Попков, Виктор Ефимович","Карус, Карл Густав","Попков, Виктор Ефимович"
"Черч, Фредерик Эдвин",Фриц Макензен,"Карус, Карл Густав","Попков, Виктор Ефимович","Попков, Виктор Ефимович","Карус, Карл Густав"
"Черч, Фредерик Эдвин",Фриц Макензен,"Карус, Карл Густав","Попков, Виктор Ефимович","Карус, Карл Густав","Черч, Фредерик Эдвин"
"Попков, Виктор Ефимович",Томас Гейнсборо,"Карус, Карл Густав","Райт, Джозеф","Карус, Карл Густав","Попков, Виктор Ефимович"
"Черч, Фредерик Эдвин",Фриц Макензен,"Карус, Карл Густав","Попков, Виктор Ефимович","Черч, Фредерик Эдвин","Карус, Карл Густав"
"Попков, Виктор Ефимович",Томас Гейнсборо,"Карус, Карл Густав","Райт, Джозеф",Томас Гейнсборо,"Карус, Карл Густав"
"Попков, Виктор Ефимович",Томас Гейнсборо,"Карус, Карл Густав","Райт, Джозеф","Карус, Карл Густав","Райт, Джозеф"
"Попков, Виктор Ефимович",Томас Гейнсборо,"Карус, Карл Густав","Райт, Джозеф","Карус, Карл Густав","Попков, Виктор Ефимович"
Уильям Тёрнер,"Попков, Виктор Ефимович",Томас Гейнсборо,"Райт, Джозеф","Райт, Джозеф",Томас Гейнсборо
Уильям Тёрнер,"Попков, Виктор Ефимович",Томас Гейнсборо,"Райт, Джозеф",Уильям Тёрнер,"Попков, Виктор Ефимович"
Уильям Тёрнер,"Попков, Виктор Ефимович",Томас Гейнсборо,"Райт, Джозеф",Уильям Тёрнер,"Попков, Виктор Ефимович"
"Констебл, Джон","Черч, Фредерик Эдвин",Джон Мартин,Уильям Тёрнер,"Черч, Фредерик Эдвин",Джон Мартин
"Констебл, Джон","Черч, Фредерик Эдвин",Джон Мартин,Уильям Тёрнер,Джон Мартин,Уильям Тёрнер
"Констебл, Джон","Черч, Фредерик Эдвин",Джон Мартин,Уильям Тёрнер,Уильям Тёрнер,"Черч, Фредерик Эдвин"
Фриц Макензен,"Констебл, Джон",Уильям Тёрнер,Эмиль Якоб Шиндлер,Эмиль Якоб Шиндлер,Фриц Макензен
Эмиль Якоб Шиндлер,"Рёйсдал, Якоб ван",пейзаж,"Попков, Виктор Ефимович","Рёйсдал, Якоб ван","Попков, Виктор Ефимович"
Эмиль Якоб Шиндлер,"Рёйсдал, Якоб ван",пейзаж,"Попков, Виктор Ефимович","Рёйсдал, Якоб ван",пейзаж
