Item1,Item2,Item3,Item4,BestItem,WorstItem
Фли,Фредди Меркьюри,Бенедикт XVI,Тейлор Свифт,Тейлор Свифт,Бенедикт XVI
Фли,Фредди Меркьюри,Бенедикт XVI,Тейлор Свифт,Фли,Фредди Меркьюри
Фли,Фредди Меркьюри,Бенедикт XVI,Тейлор Свифт,Фредди Меркьюри,Тейлор Свифт
Фли,Фредди Меркьюри,Бенедикт XVI,Тейлор Свифт,Фредди Меркьюри,Бенедикт XVI
Фли,Фредди Меркьюри,Бенедикт XVI,Тейлор Свифт,Фредди Меркьюри,Бенедикт XVI
Фли,Фредди Меркьюри,Бенедикт XVI,Тейлор Свифт,Фли,Тейлор Свифт
Том Каулитц,Джон Бон Джови,Джейми Фокс,Брайан Мэй,Джон Бон Джови,Джейми Фокс
Том Каулитц,Джон Бон Джови,Джейми Фокс,Брайан Мэй,Том Каулитц,Джейми Фокс
Том Каулитц,Джон Бон Джови,Джейми Фокс,Брайан Мэй,Брайан Мэй,Том Каулитц
Том Каулитц,Джон Бон Джови,Джейми Фокс,Брайан Мэй,Том Каулитц,Джейми Фокс
Брайан Мэй,Дэвид Боуи,Фредди Меркьюри,Джейми Фокс,Фредди Меркьюри,Джейми Фокс
Брайан Мэй,Дэвид Боуи,Фредди Меркьюри,Джейми Фокс,Фредди Меркьюри,Дэвид Боуи
Брайан Мэй,Дэвид Боуи,Фредди Меркьюри,Джейми Фокс,Брайан Мэй,Дэвид Боуи
Брайан Мэй,Дэвид Боуи,Фредди Меркьюри,Джейми Фокс,Брайан Мэй,Фредди Меркьюри
Фли,Джон Бон Джови,Ленни Кравиц,Брайан Мэй,Ленни Кравиц,Фли
Фли,Джон Бон Джови,Ленни Кравиц,Брайан Мэй,Брайан Мэй,Фли
Фли,Джон Бон Джови,Ленни Кравиц,Брайан Мэй,Брайан Мэй,Фли
Брайан Мэй,Ленни Кравиц,Тейлор Свифт,Джаред Лето,Брайан Мэй,Джаред Лето
Брайан Мэй,Ленни Кравиц,Тейлор Свифт,Джаред Лето,Ленни Кравиц,Джаред Лето
Том Каулитц,Джон Бон Джови,Джейми Фокс,Брайан Мэй,Джон Бон Джови,Том Каулитц
Брайан Мэй,Дэвид Боуи,Фредди Меркьюри,Джейми Фокс,Фредди Меркьюри,Джейми Фокс
Брайан Мэй,Дэвид Боуи,Фредди Меркьюри,Джейми Фокс,Брайан Мэй,Дэвид Боуи
Фли,Джон Бон Джови,Ленни Кравиц,Брайан Мэй,Брайан Мэй,Фли
Фли,Джон Бон Джови,Ленни Кравиц,Брайан Мэй,Джон Бон Джови,Ленни Кравиц
Фли,Джон Бон Джови,Ленни Кравиц,Брайан Мэй,Ленни Кравиц,Фли
Брайан Мэй,Ленни Кравиц,Тейлор Свифт,Джаред Лето,Ленни Кравиц,Брайан Мэй
Брайан Мэй,Ленни Кравиц,Тейлор Свифт,Джаред Лето,Ленни Кравиц,Джаред Лето
Брайан Мэй,Ленни Кравиц,Тейлор Свифт,Джаред Лето,Ленни Кравиц,Джаред Лето
Брайан Мэй,Ленни Кравиц,Тейлор Свифт,Джаред Лето,Брайан Мэй,Джаред Лето
Джон Леннон,Дэвид Боуи,Сергей Борисович Кузнецов,Рихард Вагнер,Рихард Вагнер,Джон Леннон
Джон Леннон,Дэвид Боуи,Сергей Борисович Кузнецов,Рихард Вагнер,Сергей Борисович Кузнецов,Джон Леннон
Джон Леннон,Дэвид Боуи,Сергей Борисович Кузнецов,Рихард Вагнер,Джон Леннон,Рихард Вагнер
Дэвид Боуи,Фли,Рихард Вагнер,Джон Бон Джови,Дэвид Боуи,Рихард Вагнер
Джон Леннон,Дэвид Боуи,Сергей Борисович Кузнецов,Рихард Вагнер,Сергей Борисович Кузнецов,Джон Леннон
Дэвид Боуи,Фли,Рихард Вагнер,Джон Бон Джови,Рихард Вагнер,Фли
Дэвид Боуи,Фли,Рихард Вагнер,Джон Бон Джови,Рихард Вагнер,Джон Бон Джови
Дэвид Боуи,Фли,Рихард Вагнер,Джон Бон Джови,Джон Бон Джови,Фли
Дэвид Боуи,Фли,Рихард Вагнер,Джон Бон Джови,Фли,Рихард Вагнер
Брайан Мэй,Алла Пугачёва,Рихард Вагнер,Джейми Фокс,Рихард Вагнер,Алла Пугачёва
Брайан Мэй,Алла Пугачёва,Рихард Вагнер,Джейми Фокс,Рихард Вагнер,Алла Пугачёва
Брайан Мэй,Алла Пугачёва,Рихард Вагнер,Джейми Фокс,Джейми Фокс,Брайан Мэй
Брайан Мэй,Алла Пугачёва,Рихард Вагнер,Джейми Фокс,Брайан Мэй,Алла Пугачёва
Брайан Мэй,Алла Пугачёва,Рихард Вагнер,Джейми Фокс,Брайан Мэй,Джейми Фокс
Джаред Лето,Тейлор Свифт,Джон Бон Джови,Ленни Кравиц,Ленни Кравиц,Джаред Лето
Джаред Лето,Тейлор Свифт,Джон Бон Джови,Ленни Кравиц,Ленни Кравиц,Джон Бон Джови
Джаред Лето,Тейлор Свифт,Джон Бон Джови,Ленни Кравиц,Джон Бон Джови,Джаред Лето
Крис Корнелл,Дэвид Боуи,Рихард Вагнер,Тейлор Свифт,Рихард Вагнер,Тейлор Свифт
Джаред Лето,Тейлор Свифт,Джон Бон Джови,Ленни Кравиц,Джон Бон Джови,Джаред Лето
Крис Корнелл,Дэвид Боуи,Рихард Вагнер,Тейлор Свифт,Рихард Вагнер,Тейлор Свифт
Крис Корнелл,Дэвид Боуи,Рихард Вагнер,Тейлор Свифт,Крис Корнелл,Тейлор Свифт
Крис Корнелл,Дэвид Боуи,Рихард Вагнер,Тейлор Свифт,Рихард Вагнер,Дэвид Боуи
Крис Корнелл,Дэвид Боуи,Рихард Вагнер,Тейлор Свифт,Рихард Вагнер,Тейлор Свифт
Ленни Кравиц,Том Каулитц,Рихард Вагнер,Фредди Меркьюри,Том Каулитц,Фредди Меркьюри
Ленни Кравиц,Том Каулитц,Рихард Вагнер,Фредди Меркьюри,Фредди Меркьюри,Том Каулитц
Ленни Кравиц,Том Каулитц,Рихард Вагнер,Фредди Меркьюри,Том Каулитц,Рихард Вагнер
Ленни Кравиц,Том Каулитц,Рихард Вагнер,Фредди Меркьюри,Рихард Вагнер,Фредди Меркьюри
Бенедикт XVI,Алла Пугачёва,Джон Бон Джови,Крис Корнелл,Джон Бон Джови,Бенедикт XVI
Бенедикт XVI,Алла Пугачёва,Джон Бон Джови,Крис Корнелл,Крис Корнелл,Бенедикт XVI
Джон Бон Джови,Крис Корнелл,Сергей Борисович Кузнецов,Рихард Вагнер,Рихард Вагнер,Сергей Борисович Кузнецов
