Item1,Item2,Item3,Item4,BestItem,WorstItem
Динеш де Суза,Майкл Хиггинс,Александр Юрьевич Бородай,Ольга Алексеевна Шарий,Майкл Хиггинс,Александр Юрьевич Бородай
Динеш де Суза,Майкл Хиггинс,Александр Юрьевич Бородай,Ольга Алексеевна Шарий,Ольга Алексеевна Шарий,Динеш де Суза
Динеш де Суза,Майкл Хиггинс,Александр Юрьевич Бородай,Ольга Алексеевна Шарий,Ольга Алексеевна Шарий,Майкл Хиггинс
Динеш де Суза,Майкл Хиггинс,Александр Юрьевич Бородай,Ольга Алексеевна Шарий,Майкл Хиггинс,Ольга Алексеевна Шарий
Динеш де Суза,Майкл Хиггинс,Александр Юрьевич Бородай,Ольга Алексеевна Шарий,Динеш де Суза,Майкл Хиггинс
Динеш де Суза,Майкл Хиггинс,Александр Юрьевич Бородай,Ольга Алексеевна Шарий,Ольга Алексеевна Шарий,Динеш де Суза
Вольтер,Биньямин Нетаньяху,Кондолиза Райс,"Хитченс, Кристофер",Биньямин Нетаньяху,Кондолиза Райс
Вольтер,Биньямин Нетаньяху,Кондолиза Райс,"Хитченс, Кристофер","Хитченс, Кристофер",Кондолиза Райс
Бхимрао Рамджи Амбедкар,Вольтер,Биньямин Нетаньяху,Кондолиза Райс,Вольтер,Кондолиза Райс
Бхимрао Рамджи Амбедкар,Вольтер,Биньямин Нетаньяху,Кондолиза Райс,Биньямин Нетаньяху,Вольтер
Бхимрао Рамджи Амбедкар,Вольтер,Биньямин Нетаньяху,Кондолиза Райс,Бхимрао Рамджи Амбедкар,Вольтер
Бхимрао Рамджи Амбедкар,Вольтер,Биньямин Нетаньяху,Кондолиза Райс,Бхимрао Рамджи Амбедкар,Вольтер
Бхимрао Рамджи Амбедкар,Вольтер,Биньямин Нетаньяху,Кондолиза Райс,Биньямин Нетаньяху,Бхимрао Рамджи Амбедкар
Сергей Никитич Хрущёв,Майкл Хиггинс,Марина Алексеевна Литвинович,Вудро Вильсон,Марина Алексеевна Литвинович,Сергей Никитич Хрущёв
Сергей Никитич Хрущёв,Майкл Хиггинс,Марина Алексеевна Литвинович,Вудро Вильсон,Сергей Никитич Хрущёв,Вудро Вильсон
Сергей Никитич Хрущёв,Майкл Хиггинс,Марина Алексеевна Литвинович,Вудро Вильсон,Марина Алексеевна Литвинович,Сергей Никитич Хрущёв
Сергей Никитич Хрущёв,Майкл Хиггинс,Марина Алексеевна Литвинович,Вудро Вильсон,Сергей Никитич Хрущёв,Вудро Вильсон
Александр Гельевич Дугин,"Хайль, Хубертус",Янина Висслер,Динеш де Суза,Александр Гельевич Дугин,"Хайль, Хубертус"
Александр Гельевич Дугин,"Хайль, Хубертус",Янина Висслер,Динеш де Суза,Александр Гельевич Дугин,Янина Висслер
Александр Гельевич Дугин,"Хайль, Хубертус",Янина Висслер,Динеш де Суза,Александр Гельевич Дугин,"Хайль, Хубертус"
Янина Висслер,Динеш де Суза,Вудро Вильсон,Марина Алексеевна Литвинович,Вудро Вильсон,Янина Висслер
