Item1,Item2,Item3,Item4,BestItem,WorstItem
Джон Фицджеральд Кеннеди,Джимми Картер,Франклин Делано Рузвельт,Президентские выборы в США в 2020 году,Джон Фицджеральд Кеннеди,Президентские выборы в США в 2020 году
Джон Фицджеральд Кеннеди,Джимми Картер,Франклин Делано Рузвельт,Президентские выборы в США в 2020 году,Джон Фицджеральд Кеннеди,Президентские выборы в США в 2020 году
Джон Фицджеральд Кеннеди,Джимми Картер,Франклин Делано Рузвельт,Президентские выборы в США в 2020 году,Президентские выборы в США в 2020 году,Джимми Картер
Джон Фицджеральд Кеннеди,Джимми Картер,Франклин Делано Рузвельт,Президентские выборы в США в 2020 году,Президентские выборы в США в 2020 году,Джон Фицджеральд Кеннеди
Джон Фицджеральд Кеннеди,Джимми Картер,Франклин Делано Рузвельт,Президентские выборы в США в 2020 году,Франклин Делано Рузвельт,Президентские выборы в США в 2020 году
Джордж Герберт Уокер Буш,Джо Байден,Джон Фицджеральд Кеннеди,Вооружённые силы США,Джо Байден,Вооружённые силы США
Франклин Делано Рузвельт,Билл Клинтон,Рональд Рейган,Джордж Уокер Буш,Рональд Рейган,Джордж Уокер Буш
Франклин Делано Рузвельт,Билл Клинтон,Рональд Рейган,Джордж Уокер Буш,Джордж Уокер Буш,Франклин Делано Рузвельт
Джордж Герберт Уокер Буш,Джо Байден,Джон Фицджеральд Кеннеди,Вооружённые силы США,Джон Фицджеральд Кеннеди,Вооружённые силы США
Франклин Делано Рузвельт,Билл Клинтон,Рональд Рейган,Джордж Уокер Буш,Франклин Делано Рузвельт,Джордж Уокер Буш
Джордж Герберт Уокер Буш,Джо Байден,Джон Фицджеральд Кеннеди,Вооружённые силы США,Джон Фицджеральд Кеннеди,Вооружённые силы США
Джордж Герберт Уокер Буш,Джо Байден,Джон Фицджеральд Кеннеди,Вооружённые силы США,Джордж Герберт Уокер Буш,Вооружённые силы США
Джимми Картер,Франклин Делано Рузвельт,Билл Клинтон,Джон Фицджеральд Кеннеди,Джон Фицджеральд Кеннеди,Джимми Картер
Джимми Картер,Франклин Делано Рузвельт,Билл Клинтон,Джон Фицджеральд Кеннеди,Франклин Делано Рузвельт,Джимми Картер
Джордж Герберт Уокер Буш,Джо Байден,Рональд Рейган,Джордж Уокер Буш,Джордж Уокер Буш,Джо Байден
Джордж Уокер Буш,Билл Клинтон,Джо Байден,Джон Фицджеральд Кеннеди,Джон Фицджеральд Кеннеди,Джо Байден
Джордж Уокер Буш,Билл Клинтон,Джо Байден,Джон Фицджеральд Кеннеди,Джо Байден,Билл Клинтон
Джордж Герберт Уокер Буш,Джо Байден,Рональд Рейган,Джордж Уокер Буш,Джо Байден,Джордж Герберт Уокер Буш
Джордж Герберт Уокер Буш,Джо Байден,Рональд Рейган,Джордж Уокер Буш,Рональд Рейган,Джо Байден
Джордж Уокер Буш,Билл Клинтон,Джо Байден,Джон Фицджеральд Кеннеди,Джо Байден,Джон Фицджеральд Кеннеди
Джордж Уокер Буш,Билл Клинтон,Джо Байден,Джон Фицджеральд Кеннеди,Джо Байден,Джон Фицджеральд Кеннеди
Вооружённые силы США,Рональд Рейган,Джо Байден,Джордж Герберт Уокер Буш,Джо Байден,Рональд Рейган
Вооружённые силы США,Рональд Рейган,Джо Байден,Джордж Герберт Уокер Буш,Рональд Рейган,Вооружённые силы США
Джордж Герберт Уокер Буш,Джо Байден,Франклин Делано Рузвельт,Джимми Картер,Джо Байден,Джимми Картер
Джордж Герберт Уокер Буш,Джо Байден,Франклин Делано Рузвельт,Джимми Картер,Джо Байден,Джимми Картер
Джордж Герберт Уокер Буш,Джо Байден,Франклин Делано Рузвельт,Джимми Картер,Джордж Герберт Уокер Буш,Джимми Картер
Джордж Герберт Уокер Буш,Джо Байден,Франклин Делано Рузвельт,Джимми Картер,Джо Байден,Джимми Картер
Джордж Уокер Буш,Президентские выборы в США в 2020 году,Билл Клинтон,Вооружённые силы США,Билл Клинтон,Вооружённые силы США
Джордж Уокер Буш,Президентские выборы в США в 2020 году,Билл Клинтон,Вооружённые силы США,Билл Клинтон,Вооружённые силы США
Джордж Уокер Буш,Президентские выборы в США в 2020 году,Билл Клинтон,Вооружённые силы США,Джордж Уокер Буш,Вооружённые силы США
Джон Фицджеральд Кеннеди,Джимми Картер,Франклин Делано Рузвельт,Президентские выборы в США в 2020 году,Джон Фицджеральд Кеннеди,Президентские выборы в США в 2020 году
Франклин Делано Рузвельт,Билл Клинтон,Рональд Рейган,Джордж Уокер Буш,Рональд Рейган,Джордж Уокер Буш
Франклин Делано Рузвельт,Билл Клинтон,Рональд Рейган,Джордж Уокер Буш,Франклин Делано Рузвельт,Джордж Уокер Буш
Франклин Делано Рузвельт,Билл Клинтон,Рональд Рейган,Джордж Уокер Буш,Билл Клинтон,Джордж Уокер Буш
Джордж Герберт Уокер Буш,Джо Байден,Джон Фицджеральд Кеннеди,Вооружённые силы США,Джо Байден,Вооружённые силы США
Джимми Картер,Франклин Делано Рузвельт,Билл Клинтон,Джон Фицджеральд Кеннеди,Джон Фицджеральд Кеннеди,Билл Клинтон
Джимми Картер,Франклин Делано Рузвельт,Билл Клинтон,Джон Фицджеральд Кеннеди,Джон Фицджеральд Кеннеди,Джимми Картер
Джордж Герберт Уокер Буш,Джо Байден,Рональд Рейган,Джордж Уокер Буш,Джо Байден,Джордж Герберт Уокер Буш
Джордж Герберт Уокер Буш,Джо Байден,Рональд Рейган,Джордж Уокер Буш,Джордж Герберт Уокер Буш,Джо Байден
Джимми Картер,Франклин Делано Рузвельт,Билл Клинтон,Джон Фицджеральд Кеннеди,Франклин Делано Рузвельт,Билл Клинтон
Джимми Картер,Франклин Делано Рузвельт,Билл Клинтон,Джон Фицджеральд Кеннеди,Джон Фицджеральд Кеннеди,Джимми Картер
Джордж Уокер Буш,Билл Клинтон,Джо Байден,Джон Фицджеральд Кеннеди,Джо Байден,Билл Клинтон
Джордж Герберт Уокер Буш,Джо Байден,Рональд Рейган,Джордж Уокер Буш,Джордж Уокер Буш,Рональд Рейган
Джордж Уокер Буш,Билл Клинтон,Джо Байден,Джон Фицджеральд Кеннеди,Джо Байден,Билл Клинтон
Вооружённые силы США,Рональд Рейган,Джо Байден,Джордж Герберт Уокер Буш,Джо Байден,Вооружённые силы США
Джордж Герберт Уокер Буш,Джо Байден,Франклин Делано Рузвельт,Джимми Картер,Джо Байден,Франклин Делано Рузвельт
Джордж Герберт Уокер Буш,Джо Байден,Франклин Делано Рузвельт,Джимми Картер,Джо Байден,Джимми Картер
Вооружённые силы США,Рональд Рейган,Джо Байден,Джордж Герберт Уокер Буш,Джо Байден,Вооружённые силы США
Вооружённые силы США,Рональд Рейган,Джо Байден,Джордж Герберт Уокер Буш,Джо Байден,Вооружённые силы США
Вооружённые силы США,Рональд Рейган,Джо Байден,Джордж Герберт Уокер Буш,Джо Байден,Вооружённые силы США
Джордж Уокер Буш,Президентские выборы в США в 2020 году,Билл Клинтон,Вооружённые силы США,Билл Клинтон,Вооружённые силы США
Джордж Уокер Буш,Президентские выборы в США в 2020 году,Билл Клинтон,Вооружённые силы США,Билл Клинтон,Вооружённые силы США
Джордж Уокер Буш,Президентские выборы в США в 2020 году,Билл Клинтон,Вооружённые силы США,Джордж Уокер Буш,Президентские выборы в США в 2020 году
Президентские выборы в США в 2020 году,Джимми Картер,Джо Байден,Билл Клинтон,Джо Байден,Джимми Картер
Президентские выборы в США в 2020 году,Джимми Картер,Джо Байден,Билл Клинтон,Джо Байден,Президентские выборы в США в 2020 году
Президентские выборы в США в 2020 году,Джимми Картер,Джо Байден,Билл Клинтон,Джо Байден,Джимми Картер
Президентские выборы в США в 2020 году,Джимми Картер,Джо Байден,Билл Клинтон,Джо Байден,Президентские выборы в США в 2020 году
Президентские выборы в США в 2020 году,Джимми Картер,Джо Байден,Билл Клинтон,Джо Байден,Президентские выборы в США в 2020 году
Президентские выборы в США в 2020 году,Джимми Картер,Джо Байден,Билл Клинтон,Джо Байден,Президентские выборы в США в 2020 году
Джордж Уокер Буш,Вооружённые силы США,Рональд Рейган,Джимми Картер,Джордж Уокер Буш,Вооружённые силы США
Джордж Уокер Буш,Вооружённые силы США,Рональд Рейган,Джимми Картер,Рональд Рейган,Вооружённые силы США
Джордж Уокер Буш,Вооружённые силы США,Рональд Рейган,Джимми Картер,Джордж Уокер Буш,Вооружённые силы США
Джордж Уокер Буш,Вооружённые силы США,Рональд Рейган,Джимми Картер,Джордж Уокер Буш,Вооружённые силы США
Джордж Уокер Буш,Вооружённые силы США,Рональд Рейган,Джимми Картер,Джордж Уокер Буш,Вооружённые силы США
Дональд Трамп,Рональд Рейган,Вооружённые силы США,Джон Фицджеральд Кеннеди,Джон Фицджеральд Кеннеди,Вооружённые силы США
Дональд Трамп,Рональд Рейган,Вооружённые силы США,Джон Фицджеральд Кеннеди,Джон Фицджеральд Кеннеди,Вооружённые силы США
Дональд Трамп,Рональд Рейган,Вооружённые силы США,Джон Фицджеральд Кеннеди,Джон Фицджеральд Кеннеди,Вооружённые силы США
Дональд Трамп,Рональд Рейган,Вооружённые силы США,Джон Фицджеральд Кеннеди,Рональд Рейган,Дональд Трамп
