Item1,Item2,Item3,Item4,BestItem,WorstItem
вечнозелёные растения,подсолнечник однолетний,слон,корень,подсолнечник однолетний,слон
вечнозелёные растения,подсолнечник однолетний,слон,корень,подсолнечник однолетний,слон
вечнозелёные растения,подсолнечник однолетний,слон,корень,подсолнечник однолетний,вечнозелёные растения
вечнозелёные растения,подсолнечник однолетний,слон,корень,вечнозелёные растения,слон
вечнозелёные растения,подсолнечник однолетний,слон,корень,корень,вечнозелёные растения
слон,список галлюциногенных растений,Флавоноиды,флора,флора,слон
слон,список галлюциногенных растений,Флавоноиды,флора,флора,слон
слон,список галлюциногенных растений,Флавоноиды,флора,Флавоноиды,флора
слон,список галлюциногенных растений,Флавоноиды,флора,список галлюциногенных растений,слон
ботаника,Флавоноиды,корень,список галлюциногенных растений,ботаника,корень
слон,список галлюциногенных растений,Флавоноиды,флора,Флавоноиды,список галлюциногенных растений
ботаника,Флавоноиды,корень,список галлюциногенных растений,ботаника,корень
ботаника,Флавоноиды,корень,список галлюциногенных растений,ботаника,Флавоноиды
ботаника,Флавоноиды,корень,список галлюциногенных растений,корень,список галлюциногенных растений
ботаника,Флавоноиды,корень,список галлюциногенных растений,Флавоноиды,список галлюциногенных растений
вечнозелёные растения,подсолнечник однолетний,слон,корень,вечнозелёные растения,слон
ботаника,Флавоноиды,корень,список галлюциногенных растений,ботаника,Флавоноиды
слон,список галлюциногенных растений,Флавоноиды,флора,флора,список галлюциногенных растений
список галлюциногенных растений,мохообразные,подсолнечник однолетний,корень,подсолнечник однолетний,список галлюциногенных растений
список галлюциногенных растений,мохообразные,подсолнечник однолетний,корень,подсолнечник однолетний,список галлюциногенных растений
список галлюциногенных растений,мохообразные,подсолнечник однолетний,корень,список галлюциногенных растений,корень
список галлюциногенных растений,мохообразные,подсолнечник однолетний,корень,корень,мохообразные
C4-фотосинтез,насекомоядные растения,корень,Флавоноиды,корень,Флавоноиды
C4-фотосинтез,насекомоядные растения,корень,Флавоноиды,C4-фотосинтез,Флавоноиды
насекомоядные растения,ботаника,вечнозелёные растения,мохообразные,ботаника,мохообразные
фураж,полезное растение,слон,C4-фотосинтез,C4-фотосинтез,фураж
фураж,полезное растение,слон,C4-фотосинтез,C4-фотосинтез,слон
насекомоядные растения,ботаника,вечнозелёные растения,мохообразные,вечнозелёные растения,мохообразные
насекомоядные растения,ботаника,вечнозелёные растения,мохообразные,ботаника,насекомоядные растения
насекомоядные растения,ботаника,вечнозелёные растения,мохообразные,вечнозелёные растения,мохообразные
семенные растения,листопадные растения,флора,амарантовые,семенные растения,флора
семенные растения,листопадные растения,флора,амарантовые,семенные растения,амарантовые
семенные растения,листопадные растения,флора,амарантовые,семенные растения,флора
флора,листопадные растения,грибы,вечнозелёные растения,флора,грибы
флора,листопадные растения,грибы,вечнозелёные растения,флора,грибы
C4-фотосинтез,насекомоядные растения,корень,Флавоноиды,насекомоядные растения,Флавоноиды
C4-фотосинтез,насекомоядные растения,корень,Флавоноиды,насекомоядные растения,Флавоноиды
C4-фотосинтез,насекомоядные растения,корень,Флавоноиды,C4-фотосинтез,насекомоядные растения
C4-фотосинтез,насекомоядные растения,корень,Флавоноиды,насекомоядные растения,Флавоноиды
фураж,полезное растение,слон,C4-фотосинтез,полезное растение,слон
насекомоядные растения,ботаника,вечнозелёные растения,мохообразные,ботаника,насекомоядные растения
фураж,полезное растение,слон,C4-фотосинтез,C4-фотосинтез,слон
фураж,полезное растение,слон,C4-фотосинтез,C4-фотосинтез,слон
фураж,полезное растение,слон,C4-фотосинтез,полезное растение,слон
насекомоядные растения,ботаника,вечнозелёные растения,мохообразные,ботаника,насекомоядные растения
семенные растения,листопадные растения,флора,амарантовые,флора,амарантовые
семенные растения,листопадные растения,флора,амарантовые,листопадные растения,амарантовые
семенные растения,листопадные растения,флора,амарантовые,флора,семенные растения
флора,листопадные растения,грибы,вечнозелёные растения,флора,грибы
флора,листопадные растения,грибы,вечнозелёные растения,флора,грибы
флора,листопадные растения,грибы,вечнозелёные растения,грибы,флора
флора,листопадные растения,грибы,вечнозелёные растения,флора,грибы
семенные растения,амарантовые,корень,мохообразные,мохообразные,амарантовые
семенные растения,амарантовые,корень,мохообразные,семенные растения,корень
семенные растения,амарантовые,корень,мохообразные,семенные растения,корень
семенные растения,амарантовые,корень,мохообразные,семенные растения,мохообразные
анис обыкновенный,насекомоядные растения,грибы,мохообразные,мохообразные,грибы
анис обыкновенный,насекомоядные растения,грибы,мохообразные,грибы,насекомоядные растения
анис обыкновенный,насекомоядные растения,грибы,мохообразные,анис обыкновенный,мохообразные
многолетние растения,листопадные растения,слон,насекомоядные растения,многолетние растения,слон
анис обыкновенный,насекомоядные растения,грибы,мохообразные,насекомоядные растения,анис обыкновенный
многолетние растения,листопадные растения,слон,насекомоядные растения,листопадные растения,слон
многолетние растения,листопадные растения,слон,насекомоядные растения,многолетние растения,слон
многолетние растения,листопадные растения,слон,насекомоядные растения,многолетние растения,слон
многолетние растения,листопадные растения,слон,насекомоядные растения,многолетние растения,слон
многолетние растения,листопадные растения,слон,насекомоядные растения,многолетние растения,слон
вечнозелёные растения,многолетние растения,ботаника,слон,вечнозелёные растения,ботаника
вечнозелёные растения,многолетние растения,ботаника,слон,вечнозелёные растения,слон
вечнозелёные растения,многолетние растения,ботаника,слон,ботаника,слон
слон,подсолнечник однолетний,полезное растение,вечнозелёные растения,полезное растение,слон
слон,подсолнечник однолетний,полезное растение,вечнозелёные растения,подсолнечник однолетний,вечнозелёные растения
вечнозелёные растения,многолетние растения,ботаника,слон,многолетние растения,слон
слон,подсолнечник однолетний,полезное растение,вечнозелёные растения,полезное растение,слон
слон,подсолнечник однолетний,полезное растение,вечнозелёные растения,подсолнечник однолетний,слон
слон,подсолнечник однолетний,полезное растение,вечнозелёные растения,подсолнечник однолетний,слон
подсолнечник однолетний,сосудистые растения,семенные растения,фураж,подсолнечник однолетний,фураж
подсолнечник однолетний,сосудистые растения,семенные растения,фураж,семенные растения,фураж
подсолнечник однолетний,сосудистые растения,семенные растения,фураж,семенные растения,фураж
подсолнечник однолетний,сосудистые растения,семенные растения,фураж,семенные растения,фураж
подсолнечник однолетний,сосудистые растения,семенные растения,фураж,сосудистые растения,фураж
ботаника,амарантовые,насекомоядные растения,флора,насекомоядные растения,амарантовые
ботаника,амарантовые,насекомоядные растения,флора,насекомоядные растения,амарантовые
ботаника,амарантовые,насекомоядные растения,флора,ботаника,амарантовые
ботаника,амарантовые,насекомоядные растения,флора,ботаника,насекомоядные растения
ботаника,амарантовые,насекомоядные растения,флора,ботаника,амарантовые
амарантовые,мохообразные,C4-фотосинтез,сосудистые растения,мохообразные,C4-фотосинтез
амарантовые,мохообразные,C4-фотосинтез,сосудистые растения,сосудистые растения,C4-фотосинтез
ботаника,амарантовые,насекомоядные растения,флора,ботаника,амарантовые
анис обыкновенный,флора,сосудистые растения,список галлюциногенных растений,сосудистые растения,флора
амарантовые,мохообразные,C4-фотосинтез,сосудистые растения,мохообразные,сосудистые растения
амарантовые,мохообразные,C4-фотосинтез,сосудистые растения,мохообразные,C4-фотосинтез
анис обыкновенный,флора,сосудистые растения,список галлюциногенных растений,флора,сосудистые растения
анис обыкновенный,флора,сосудистые растения,список галлюциногенных растений,флора,список галлюциногенных растений
амарантовые,мохообразные,C4-фотосинтез,сосудистые растения,сосудистые растения,C4-фотосинтез
амарантовые,мохообразные,C4-фотосинтез,сосудистые растения,сосудистые растения,амарантовые
анис обыкновенный,флора,сосудистые растения,список галлюциногенных растений,флора,анис обыкновенный
анис обыкновенный,флора,сосудистые растения,список галлюциногенных растений,анис обыкновенный,флора
анис обыкновенный,флора,сосудистые растения,список галлюциногенных растений,флора,список галлюциногенных растений
мохообразные,список галлюциногенных растений,грибы,флора,флора,грибы
мохообразные,список галлюциногенных растений,грибы,флора,флора,список галлюциногенных растений
мохообразные,список галлюциногенных растений,грибы,флора,флора,список галлюциногенных растений
мохообразные,список галлюциногенных растений,грибы,флора,флора,грибы
мохообразные,список галлюциногенных растений,грибы,флора,флора,грибы
фураж,корень,анис обыкновенный,подсолнечник однолетний,анис обыкновенный,фураж
фураж,корень,анис обыкновенный,подсолнечник однолетний,подсолнечник однолетний,фураж
фураж,корень,анис обыкновенный,подсолнечник однолетний,подсолнечник однолетний,фураж
фураж,корень,анис обыкновенный,подсолнечник однолетний,подсолнечник однолетний,фураж
фураж,корень,анис обыкновенный,подсолнечник однолетний,анис обыкновенный,фураж
фураж,корень,анис обыкновенный,подсолнечник однолетний,подсолнечник однолетний,фураж
фураж,многолетние растения,вечнозелёные растения,полезное растение,многолетние растения,полезное растение
фураж,многолетние растения,вечнозелёные растения,полезное растение,полезное растение,фураж
фураж,многолетние растения,вечнозелёные растения,полезное растение,вечнозелёные растения,фураж
фураж,многолетние растения,вечнозелёные растения,полезное растение,вечнозелёные растения,фураж
фураж,многолетние растения,вечнозелёные растения,полезное растение,полезное растение,фураж
фураж,многолетние растения,вечнозелёные растения,полезное растение,многолетние растения,фураж
полезное растение,фураж,флора,вечнозелёные растения,флора,фураж
полезное растение,фураж,флора,вечнозелёные растения,вечнозелёные растения,фураж
полезное растение,фураж,флора,вечнозелёные растения,полезное растение,фураж
фураж,грибы,семенные растения,мохообразные,семенные растения,мохообразные
полезное растение,фураж,флора,вечнозелёные растения,вечнозелёные растения,фураж
фураж,грибы,семенные растения,мохообразные,семенные растения,грибы
полезное растение,фураж,флора,вечнозелёные растения,вечнозелёные растения,фураж
фураж,грибы,семенные растения,мохообразные,семенные растения,грибы
фураж,грибы,семенные растения,мохообразные,семенные растения,фураж
семенные растения,амарантовые,корень,мохообразные,семенные растения,амарантовые
анис обыкновенный,насекомоядные растения,грибы,мохообразные,анис обыкновенный,грибы
вечнозелёные растения,многолетние растения,ботаника,слон,ботаника,слон
слон,подсолнечник однолетний,полезное растение,вечнозелёные растения,вечнозелёные растения,слон
подсолнечник однолетний,сосудистые растения,семенные растения,фураж,семенные растения,фураж
полезное растение,фураж,флора,вечнозелёные растения,флора,фураж
фураж,грибы,семенные растения,мохообразные,семенные растения,фураж
фураж,мохообразные,полезное растение,насекомоядные растения,насекомоядные растения,фураж
фураж,мохообразные,полезное растение,насекомоядные растения,полезное растение,фураж
фураж,мохообразные,полезное растение,насекомоядные растения,полезное растение,фураж
фураж,мохообразные,полезное растение,насекомоядные растения,мохообразные,фураж
фураж,мохообразные,полезное растение,насекомоядные растения,полезное растение,фураж
полезное растение,семенные растения,многолетние растения,ботаника,ботаника,полезное растение
полезное растение,семенные растения,многолетние растения,ботаника,многолетние растения,ботаника
полезное растение,семенные растения,многолетние растения,ботаника,многолетние растения,ботаника
полезное растение,семенные растения,многолетние растения,ботаника,семенные растения,полезное растение
полезное растение,семенные растения,многолетние растения,ботаника,многолетние растения,полезное растение
корень,сосудистые растения,вечнозелёные растения,листопадные растения,вечнозелёные растения,корень
корень,сосудистые растения,вечнозелёные растения,листопадные растения,вечнозелёные растения,корень
корень,сосудистые растения,вечнозелёные растения,листопадные растения,вечнозелёные растения,корень
корень,сосудистые растения,вечнозелёные растения,листопадные растения,вечнозелёные растения,корень
корень,сосудистые растения,вечнозелёные растения,листопадные растения,вечнозелёные растения,корень
Флавоноиды,сосудистые растения,грибы,анис обыкновенный,анис обыкновенный,грибы
Флавоноиды,сосудистые растения,грибы,анис обыкновенный,сосудистые растения,грибы
анис обыкновенный,ботаника,амарантовые,насекомоядные растения,анис обыкновенный,амарантовые
анис обыкновенный,ботаника,амарантовые,насекомоядные растения,ботаника,амарантовые
анис обыкновенный,ботаника,амарантовые,насекомоядные растения,насекомоядные растения,анис обыкновенный
анис обыкновенный,ботаника,амарантовые,насекомоядные растения,ботаника,насекомоядные растения
анис обыкновенный,ботаника,амарантовые,насекомоядные растения,анис обыкновенный,ботаника
анис обыкновенный,ботаника,амарантовые,насекомоядные растения,ботаника,амарантовые
подсолнечник однолетний,полезное растение,листопадные растения,амарантовые,подсолнечник однолетний,полезное растение
подсолнечник однолетний,полезное растение,листопадные растения,амарантовые,полезное растение,подсолнечник однолетний
подсолнечник однолетний,полезное растение,листопадные растения,амарантовые,листопадные растения,полезное растение
подсолнечник однолетний,полезное растение,листопадные растения,амарантовые,листопадные растения,подсолнечник однолетний
подсолнечник однолетний,полезное растение,листопадные растения,амарантовые,подсолнечник однолетний,листопадные растения
подсолнечник однолетний,полезное растение,листопадные растения,амарантовые,подсолнечник однолетний,амарантовые
ботаника,C4-фотосинтез,листопадные растения,грибы,ботаника,C4-фотосинтез
анис обыкновенный,список галлюциногенных растений,C4-фотосинтез,грибы,анис обыкновенный,грибы
ботаника,C4-фотосинтез,листопадные растения,грибы,грибы,ботаника
ботаника,C4-фотосинтез,листопадные растения,грибы,листопадные растения,грибы
ботаника,C4-фотосинтез,листопадные растения,грибы,листопадные растения,грибы
анис обыкновенный,список галлюциногенных растений,C4-фотосинтез,грибы,анис обыкновенный,C4-фотосинтез
анис обыкновенный,список галлюциногенных растений,C4-фотосинтез,грибы,анис обыкновенный,список галлюциногенных растений
ботаника,C4-фотосинтез,листопадные растения,грибы,ботаника,грибы
анис обыкновенный,список галлюциногенных растений,C4-фотосинтез,грибы,грибы,список галлюциногенных растений
список галлюциногенных растений,Флавоноиды,слон,насекомоядные растения,насекомоядные растения,слон
сосудистые растения,список галлюциногенных растений,многолетние растения,Флавоноиды,многолетние растения,Флавоноиды
список галлюциногенных растений,Флавоноиды,слон,насекомоядные растения,список галлюциногенных растений,слон
список галлюциногенных растений,Флавоноиды,слон,насекомоядные растения,список галлюциногенных растений,слон
список галлюциногенных растений,Флавоноиды,слон,насекомоядные растения,насекомоядные растения,слон
список галлюциногенных растений,Флавоноиды,слон,насекомоядные растения,список галлюциногенных растений,слон
сосудистые растения,список галлюциногенных растений,многолетние растения,Флавоноиды,многолетние растения,список галлюциногенных растений
сосудистые растения,список галлюциногенных растений,многолетние растения,Флавоноиды,многолетние растения,Флавоноиды
сосудистые растения,список галлюциногенных растений,многолетние растения,Флавоноиды,многолетние растения,Флавоноиды
C4-фотосинтез,сосудистые растения,фураж,многолетние растения,многолетние растения,фураж
C4-фотосинтез,сосудистые растения,фураж,многолетние растения,C4-фотосинтез,фураж
C4-фотосинтез,сосудистые растения,фураж,многолетние растения,многолетние растения,C4-фотосинтез
C4-фотосинтез,сосудистые растения,фураж,многолетние растения,сосудистые растения,C4-фотосинтез
C4-фотосинтез,сосудистые растения,фураж,многолетние растения,многолетние растения,фураж
семенные растения,амарантовые,корень,мохообразные,семенные растения,амарантовые
анис обыкновенный,насекомоядные растения,грибы,мохообразные,анис обыкновенный,грибы
вечнозелёные растения,многолетние растения,ботаника,слон,ботаника,слон
мохообразные,список галлюциногенных растений,грибы,флора,флора,список галлюциногенных растений
фураж,грибы,семенные растения,мохообразные,семенные растения,грибы
полезное растение,семенные растения,многолетние растения,ботаника,ботаника,полезное растение
фураж,мохообразные,полезное растение,насекомоядные растения,насекомоядные растения,фураж
корень,сосудистые растения,вечнозелёные растения,листопадные растения,вечнозелёные растения,корень
Флавоноиды,сосудистые растения,грибы,анис обыкновенный,сосудистые растения,анис обыкновенный
Флавоноиды,сосудистые растения,грибы,анис обыкновенный,анис обыкновенный,Флавоноиды
Флавоноиды,сосудистые растения,грибы,анис обыкновенный,анис обыкновенный,грибы
Флавоноиды,сосудистые растения,грибы,анис обыкновенный,сосудистые растения,грибы
анис обыкновенный,список галлюциногенных растений,C4-фотосинтез,грибы,анис обыкновенный,C4-фотосинтез
ботаника,C4-фотосинтез,листопадные растения,грибы,грибы,ботаника
сосудистые растения,список галлюциногенных растений,многолетние растения,Флавоноиды,список галлюциногенных растений,Флавоноиды
сосудистые растения,список галлюциногенных растений,многолетние растения,Флавоноиды,многолетние растения,список галлюциногенных растений
список галлюциногенных растений,Флавоноиды,слон,насекомоядные растения,насекомоядные растения,слон
многолетние растения,подсолнечник однолетний,Флавоноиды,семенные растения,многолетние растения,Флавоноиды
многолетние растения,подсолнечник однолетний,Флавоноиды,семенные растения,семенные растения,Флавоноиды
многолетние растения,подсолнечник однолетний,Флавоноиды,семенные растения,многолетние растения,подсолнечник однолетний
многолетние растения,подсолнечник однолетний,Флавоноиды,семенные растения,многолетние растения,Флавоноиды
многолетние растения,подсолнечник однолетний,Флавоноиды,семенные растения,семенные растения,Флавоноиды
C4-фотосинтез,корень,грибы,полезное растение,C4-фотосинтез,грибы
семенные растения,слон,C4-фотосинтез,листопадные растения,листопадные растения,слон
