Item1,Item2,Item3,Item4,BestItem,WorstItem
Гринч — похититель Рождества,Один дома 3,Санта-Клаусы,премия центра Кеннеди,Гринч — похититель Рождества,премия центра Кеннеди
Гринч — похититель Рождества,Один дома 3,Санта-Клаусы,премия центра Кеннеди,Гринч — похититель Рождества,Один дома 3
Гринч — похититель Рождества,Один дома 3,Санта-Клаусы,премия центра Кеннеди,Гринч — похититель Рождества,премия центра Кеннеди
С широко закрытыми глазами,Рождественские каникулы,Бэтмен возвращается,Один дома 4,Один дома 4,С широко закрытыми глазами
С широко закрытыми глазами,Рождественские каникулы,Бэтмен возвращается,Один дома 4,Один дома 4,С широко закрытыми глазами
Санта-Клаусы,Бэтмен возвращается,Крепкий орешек 2,Крепкий орешек,Санта-Клаусы,Крепкий орешек 2
С широко закрытыми глазами,Рождественские каникулы,Бэтмен возвращается,Один дома 4,Один дома 4,Бэтмен возвращается
С широко закрытыми глазами,Рождественские каникулы,Бэтмен возвращается,Один дома 4,Рождественские каникулы,Бэтмен возвращается
Санта-Клаусы,Бэтмен возвращается,Крепкий орешек 2,Крепкий орешек,Санта-Клаусы,Бэтмен возвращается
С широко закрытыми глазами,Рождественские каникулы,Бэтмен возвращается,Один дома 4,Рождественские каникулы,Бэтмен возвращается
Гринч — похититель Рождества,Мой парень — псих,премия центра Кеннеди,С широко закрытыми глазами,Гринч — похититель Рождества,премия центра Кеннеди
Санта-Клаусы,Бэтмен возвращается,Крепкий орешек 2,Крепкий орешек,Санта-Клаусы,Бэтмен возвращается
Гринч — похититель Рождества,Мой парень — псих,премия центра Кеннеди,С широко закрытыми глазами,С широко закрытыми глазами,премия центра Кеннеди
Гринч — похититель Рождества,Мой парень — псих,премия центра Кеннеди,С широко закрытыми глазами,Гринч — похититель Рождества,премия центра Кеннеди
Гринч — похититель Рождества,Мой парень — псих,премия центра Кеннеди,С широко закрытыми глазами,Гринч — похититель Рождества,С широко закрытыми глазами
Один дома,Крепкий орешек,Крепкий орешек 2,Один дома 4,Один дома,Крепкий орешек
Один дома,Крепкий орешек,Крепкий орешек 2,Один дома 4,Один дома,Крепкий орешек
Один дома,Крепкий орешек,Крепкий орешек 2,Один дома 4,Один дома,Крепкий орешек 2
Один дома,Крепкий орешек,Крепкий орешек 2,Один дома 4,Один дома,Крепкий орешек 2
Гринч — похититель Рождества,Один дома,Шазам!,Три орешка для Золушки,Гринч — похититель Рождества,Шазам!
Гринч — похититель Рождества,Один дома,Шазам!,Три орешка для Золушки,Один дома,Три орешка для Золушки
Три орешка для Золушки,Рождественские каникулы,Стражи Галактики: Специальный праздничный выпуск,Один дома 4,Один дома 4,Стражи Галактики: Специальный праздничный выпуск
Три орешка для Золушки,Рождественские каникулы,Стражи Галактики: Специальный праздничный выпуск,Один дома 4,Рождественские каникулы,Три орешка для Золушки
Три орешка для Золушки,Рождественские каникулы,Стражи Галактики: Специальный праздничный выпуск,Один дома 4,Рождественские каникулы,Три орешка для Золушки
Бэтмен возвращается,Один дома 3,Крепкий орешек,Мой парень — псих,Один дома 3,Бэтмен возвращается
Бэтмен возвращается,Один дома 3,Крепкий орешек,Мой парень — псих,Один дома 3,Мой парень — псих
