Item1,Item2,Item3,Item4,BestItem,WorstItem
русины,Василий Иванович Чуйков,Милла Йовович,Денис Владимирович Пушилин,Василий Иванович Чуйков,Милла Йовович
русины,Василий Иванович Чуйков,Милла Йовович,Денис Владимирович Пушилин,Милла Йовович,русины
русины,Василий Иванович Чуйков,Милла Йовович,Денис Владимирович Пушилин,Денис Владимирович Пушилин,Милла Йовович
русины,Василий Иванович Чуйков,Милла Йовович,Денис Владимирович Пушилин,Денис Владимирович Пушилин,русины
русины,Василий Иванович Чуйков,Милла Йовович,Денис Владимирович Пушилин,Денис Владимирович Пушилин,Милла Йовович
русины,Василий Иванович Чуйков,Милла Йовович,Денис Владимирович Пушилин,русины,Василий Иванович Чуйков
восточные славяне,"Яшин, Лев Иванович",Владимир Владимирович Путин,Милла Йовович,восточные славяне,Милла Йовович
восточные славяне,"Яшин, Лев Иванович",Владимир Владимирович Путин,Милла Йовович,восточные славяне,Милла Йовович
восточные славяне,"Яшин, Лев Иванович",Владимир Владимирович Путин,Милла Йовович,Владимир Владимирович Путин,Милла Йовович
русины,Русь,Милла Йовович,Андрей Дмитриевич Сахаров,Русь,Милла Йовович
Владимир Владимирович Путин,Андрей Дмитриевич Сахаров,Василий Васильевич Кандинский,Милла Йовович,Владимир Владимирович Путин,Милла Йовович
русины,Русь,Милла Йовович,Андрей Дмитриевич Сахаров,Андрей Дмитриевич Сахаров,Милла Йовович
Владимир Владимирович Путин,Андрей Дмитриевич Сахаров,Василий Васильевич Кандинский,Милла Йовович,Владимир Владимирович Путин,Милла Йовович
Владимир Владимирович Путин,Андрей Дмитриевич Сахаров,Василий Васильевич Кандинский,Милла Йовович,Владимир Владимирович Путин,Милла Йовович
Владимир Владимирович Путин,Андрей Дмитриевич Сахаров,Василий Васильевич Кандинский,Милла Йовович,Владимир Владимирович Путин,Милла Йовович
Владимир Владимирович Путин,Андрей Дмитриевич Сахаров,Василий Васильевич Кандинский,Милла Йовович,Владимир Владимирович Путин,Милла Йовович
восточные славяне,Владимир Владимирович Путин,Андрей Дмитриевич Сахаров,Василий Иванович Чуйков,восточные славяне,Василий Иванович Чуйков
восточные славяне,Владимир Владимирович Путин,Андрей Дмитриевич Сахаров,Василий Иванович Чуйков,восточные славяне,Василий Иванович Чуйков
восточные славяне,Владимир Владимирович Путин,Андрей Дмитриевич Сахаров,Василий Иванович Чуйков,Владимир Владимирович Путин,Василий Иванович Чуйков
восточные славяне,Владимир Владимирович Путин,Андрей Дмитриевич Сахаров,Василий Иванович Чуйков,Владимир Владимирович Путин,восточные славяне
восточные славяне,Владимир Владимирович Путин,Андрей Дмитриевич Сахаров,Василий Иванович Чуйков,восточные славяне,Василий Иванович Чуйков
восточные славяне,"Яшин, Лев Иванович",Владимир Владимирович Путин,Милла Йовович,восточные славяне,Милла Йовович
