Item1,Item2,Item3,Item4,BestItem,WorstItem
Памятник Арминию,Лаокоон и его сыновья,Пьета,Венера Гальгенбергская,Венера Гальгенбергская,Лаокоон и его сыновья
Памятник Арминию,Лаокоон и его сыновья,Пьета,Венера Гальгенбергская,Венера Гальгенбергская,Лаокоон и его сыновья
Памятник Арминию,Лаокоон и его сыновья,Пьета,Венера Гальгенбергская,Памятник Арминию,Пьета
Памятник Арминию,Лаокоон и его сыновья,Пьета,Венера Гальгенбергская,Венера Гальгенбергская,Памятник Арминию
Памятник Арминию,Лаокоон и его сыновья,Пьета,Венера Гальгенбергская,Памятник Арминию,Венера Гальгенбергская
Памятник Арминию,Лаокоон и его сыновья,Пьета,Венера Гальгенбергская,Пьета,Лаокоон и его сыновья
Павший астронавт,посмертная маска,Венера Милосская,Капитолийская волчица,Венера Милосская,посмертная маска
посмертная маска,терракота,Врата Ада,Венера Виллендорфская,Венера Виллендорфская,посмертная маска
Павший астронавт,посмертная маска,Венера Милосская,Капитолийская волчица,Венера Милосская,посмертная маска
Павший астронавт,посмертная маска,Венера Милосская,Капитолийская волчица,Капитолийская волчица,посмертная маска
Павший астронавт,посмертная маска,Венера Милосская,Капитолийская волчица,посмертная маска,Венера Милосская
посмертная маска,терракота,Врата Ада,Венера Виллендорфская,посмертная маска,терракота
Павший астронавт,Памятник Арминию,Лаокоон и его сыновья,посмертная маска,Лаокоон и его сыновья,посмертная маска
Венера Милосская,Капитолийская волчица,Человеколев,Венера Гальгенбергская,Венера Милосская,Венера Гальгенбергская
Венера Милосская,Капитолийская волчица,Человеколев,Венера Гальгенбергская,Венера Милосская,Человеколев
Венера Милосская,Капитолийская волчица,Человеколев,Венера Гальгенбергская,Венера Милосская,Венера Гальгенбергская
терракота,Лаокоон и его сыновья,Збручский идол,Памятник Арминию,Лаокоон и его сыновья,Збручский идол
терракота,Лаокоон и его сыновья,Збручский идол,Памятник Арминию,Памятник Арминию,терракота
терракота,Лаокоон и его сыновья,Збручский идол,Памятник Арминию,Памятник Арминию,терракота
терракота,Лаокоон и его сыновья,Збручский идол,Памятник Арминию,терракота,Збручский идол
терракота,Лаокоон и его сыновья,Збручский идол,Памятник Арминию,Лаокоон и его сыновья,терракота
Венера Гальгенбергская,терракота,хрустальный череп,Человеколев,Венера Гальгенбергская,Человеколев
Венера Гальгенбергская,терракота,хрустальный череп,Человеколев,Венера Гальгенбергская,терракота
Врата Ада,Шила-на-гиг,Павший астронавт,Моисей,Павший астронавт,Моисей
Врата Ада,Шила-на-гиг,Павший астронавт,Моисей,Моисей,Павший астронавт
Врата Ада,Шила-на-гиг,Павший астронавт,Моисей,Моисей,Шила-на-гиг
хрустальный череп,Павший астронавт,рельеф,Капитолийская волчица,Павший астронавт,рельеф
