Item1,Item2,Item3,Item4,BestItem,WorstItem
Эдвард Сноуден,Павел Дуров,Аркадий Волож,Джефф Безос,Эдвард Сноуден,Павел Дуров
Эдвард Сноуден,Павел Дуров,Аркадий Волож,Джефф Безос,Аркадий Волож,Эдвард Сноуден
Эдвард Сноуден,Павел Дуров,Аркадий Волож,Джефф Безос,Павел Дуров,Аркадий Волож
Эдвард Сноуден,Павел Дуров,Аркадий Волож,Джефф Безос,Павел Дуров,Джефф Безос
Эдвард Сноуден,Павел Дуров,Аркадий Волож,Джефф Безос,Аркадий Волож,Джефф Безос
Эдвард Сноуден,Павел Дуров,Аркадий Волож,Джефф Безос,Аркадий Волож,Джефф Безос
Стив Возняк,Сергей Брин,Ларри Пейдж,Алан Тьюринг,Алан Тьюринг,Ларри Пейдж
Стив Возняк,Сергей Брин,Ларри Пейдж,Алан Тьюринг,Сергей Брин,Алан Тьюринг
Стив Возняк,Сергей Брин,Ларри Пейдж,Алан Тьюринг,Алан Тьюринг,Стив Возняк
Судха Мурти,Эдвард Сноуден,Павел Дуров,"Эк, Даниэль",Павел Дуров,Эдвард Сноуден
Судха Мурти,Эдвард Сноуден,Павел Дуров,"Эк, Даниэль","Эк, Даниэль",Судха Мурти
Судха Мурти,Эдвард Сноуден,Павел Дуров,"Эк, Даниэль",Павел Дуров,Судха Мурти
Судха Мурти,Эдвард Сноуден,Павел Дуров,"Эк, Даниэль",Эдвард Сноуден,"Эк, Даниэль"
Эдуардо Саверин,"Эк, Даниэль",Стив Возняк,Джек Дорси,Джек Дорси,Стив Возняк
Эдуардо Саверин,"Эк, Даниэль",Стив Возняк,Джек Дорси,Стив Возняк,"Эк, Даниэль"
Стив Возняк,"Эк, Даниэль",Стив Джобс,Джефф Безос,Стив Джобс,Стив Возняк
Стив Возняк,"Эк, Даниэль",Стив Джобс,Джефф Безос,Стив Джобс,Джефф Безос
Эдвард Сноуден,Стив Возняк,Ларри Пейдж,Стив Джобс,Эдвард Сноуден,Ларри Пейдж
Эдвард Сноуден,Стив Возняк,Ларри Пейдж,Стив Джобс,Стив Возняк,Эдвард Сноуден
Эдвард Сноуден,Стив Возняк,Ларри Пейдж,Стив Джобс,Стив Джобс,Стив Возняк
Эдвард Сноуден,Стив Возняк,Ларри Пейдж,Стив Джобс,Стив Возняк,Эдвард Сноуден
Алан Тьюринг,Ларри Пейдж,Стив Джобс,Джефф Безос,Стив Джобс,Ларри Пейдж
Стив Возняк,Сергей Брин,Ларри Пейдж,Алан Тьюринг,Ларри Пейдж,Стив Возняк
Стив Возняк,Сергей Брин,Ларри Пейдж,Алан Тьюринг,Ларри Пейдж,Сергей Брин
Стив Возняк,Сергей Брин,Ларри Пейдж,Алан Тьюринг,Стив Возняк,Сергей Брин
Судха Мурти,Эдвард Сноуден,Павел Дуров,"Эк, Даниэль",Павел Дуров,Судха Мурти
Судха Мурти,Эдвард Сноуден,Павел Дуров,"Эк, Даниэль",Павел Дуров,"Эк, Даниэль"
Эдуардо Саверин,"Эк, Даниэль",Стив Возняк,Джек Дорси,Стив Возняк,"Эк, Даниэль"
Эдуардо Саверин,"Эк, Даниэль",Стив Возняк,Джек Дорси,Джек Дорси,Эдуардо Саверин
Эдуардо Саверин,"Эк, Даниэль",Стив Возняк,Джек Дорси,Стив Возняк,"Эк, Даниэль"
Стив Возняк,"Эк, Даниэль",Стив Джобс,Джефф Безос,Стив Возняк,Джефф Безос
Стив Возняк,"Эк, Даниэль",Стив Джобс,Джефф Безос,Стив Джобс,Джефф Безос
Стив Возняк,"Эк, Даниэль",Стив Джобс,Джефф Безос,Стив Возняк,"Эк, Даниэль"
Стив Возняк,"Эк, Даниэль",Стив Джобс,Джефф Безос,Стив Возняк,"Эк, Даниэль"
Эдвард Сноуден,Стив Возняк,Ларри Пейдж,Стив Джобс,Стив Джобс,Эдвард Сноуден
Алан Тьюринг,Ларри Пейдж,Стив Джобс,Джефф Безос,Стив Джобс,Джефф Безос
Алан Тьюринг,Ларри Пейдж,Стив Джобс,Джефф Безос,Стив Джобс,Ларри Пейдж
Алан Тьюринг,Ларри Пейдж,Стив Джобс,Джефф Безос,Стив Джобс,Алан Тьюринг
Алан Тьюринг,Ларри Пейдж,Стив Джобс,Джефф Безос,Алан Тьюринг,Джефф Безос
Эдуардо Саверин,"Эк, Даниэль",Стив Возняк,Джек Дорси,Стив Возняк,Эдуардо Саверин
Алан Тьюринг,Ларри Пейдж,Стив Джобс,Джефф Безос,Стив Джобс,Алан Тьюринг
"Эк, Даниэль",Сергей Брин,Эдвард Сноуден,Джек Дорси,Джек Дорси,Сергей Брин
"Эк, Даниэль",Сергей Брин,Эдвард Сноуден,Джек Дорси,Сергей Брин,Джек Дорси
"Эк, Даниэль",Сергей Брин,Эдвард Сноуден,Джек Дорси,Эдвард Сноуден,"Эк, Даниэль"
"Эк, Даниэль",Сергей Брин,Эдвард Сноуден,Джек Дорси,Джек Дорси,Эдвард Сноуден
