Item1,Item2,Item3,Item4,BestItem,WorstItem
Брендон Керри,Джет Ли,Джои Келли,Владимир Владимирович Кличко,Владимир Владимирович Кличко,Брендон Керри
Брендон Керри,Джет Ли,Джои Келли,Владимир Владимирович Кличко,Владимир Владимирович Кличко,Джет Ли
Брендон Керри,Джет Ли,Джои Келли,Владимир Владимирович Кличко,Владимир Владимирович Кличко,Джои Келли
Брендон Керри,Джет Ли,Джои Келли,Владимир Владимирович Кличко,Владимир Владимирович Кличко,Джет Ли
Брендон Керри,Джет Ли,Джои Келли,Владимир Владимирович Кличко,Брендон Керри,Владимир Владимирович Кличко
Брендон Керри,Джет Ли,Джои Келли,Владимир Владимирович Кличко,Владимир Владимирович Кличко,Джет Ли
Тайсон Фьюри,Дейв Батиста,Густав Шварценеггер,Владимир Владимирович Кличко,Тайсон Фьюри,Густав Шварценеггер
Тайсон Фьюри,Дейв Батиста,Густав Шварценеггер,Владимир Владимирович Кличко,Владимир Владимирович Кличко,Густав Шварценеггер
Джои Келли,"Холл, Кевин Питер",Олег Николаевич Тактаров,Дейв Батиста,Олег Николаевич Тактаров,Джои Келли
"Шумахер, Тони",Джои Келли,Ронда Раузи,Тайсон Фьюри,"Шумахер, Тони",Тайсон Фьюри
Джои Келли,"Холл, Кевин Питер",Олег Николаевич Тактаров,Дейв Батиста,Олег Николаевич Тактаров,Джои Келли
"Шумахер, Тони",Джои Келли,Ронда Раузи,Тайсон Фьюри,Тайсон Фьюри,Джои Келли
Джои Келли,"Холл, Кевин Питер",Олег Николаевич Тактаров,Дейв Батиста,Олег Николаевич Тактаров,Дейв Батиста
"Шумахер, Тони",Джои Келли,Ронда Раузи,Тайсон Фьюри,"Шумахер, Тони",Джои Келли
Катерина Владимировна Тихонова,Тайсон Фьюри,Барри Бондс,"Холл, Кевин Питер",Барри Бондс,"Холл, Кевин Питер"
Катерина Владимировна Тихонова,Тайсон Фьюри,Барри Бондс,"Холл, Кевин Питер",Тайсон Фьюри,"Холл, Кевин Питер"
Катерина Владимировна Тихонова,Тайсон Фьюри,Барри Бондс,"Холл, Кевин Питер",Тайсон Фьюри,"Холл, Кевин Питер"
"Холл, Кевин Питер","Иодис, Полина Яновна",Густав Шварценеггер,Николай Фоменко,Густав Шварценеггер,"Холл, Кевин Питер"
"Холл, Кевин Питер","Иодис, Полина Яновна",Густав Шварценеггер,Николай Фоменко,"Иодис, Полина Яновна",Густав Шварценеггер
"Холл, Кевин Питер","Иодис, Полина Яновна",Густав Шварценеггер,Николай Фоменко,Николай Фоменко,"Иодис, Полина Яновна"
Раймонд ван Барневельд,"Холл, Кевин Питер",Брендон Керри,Джет Ли,"Холл, Кевин Питер",Джет Ли
Ронда Раузи,Дейв Батиста,Джои Келли,Владимир Владимирович Кличко,Владимир Владимирович Кличко,Дейв Батиста
Николай Фоменко,Барри Бондс,Владимир Евгеньевич Турчинский,"Иодис, Полина Яновна",Владимир Евгеньевич Турчинский,Николай Фоменко
Николай Фоменко,Барри Бондс,Владимир Евгеньевич Турчинский,"Иодис, Полина Яновна",Барри Бондс,Владимир Евгеньевич Турчинский
Раймонд ван Барневельд,"Холл, Кевин Питер",Брендон Керри,Джет Ли,Брендон Керри,Джет Ли
Ронда Раузи,Дейв Батиста,Джои Келли,Владимир Владимирович Кличко,Владимир Владимирович Кличко,Ронда Раузи
Раймонд ван Барневельд,"Холл, Кевин Питер",Брендон Керри,Джет Ли,Джет Ли,Брендон Керри
Николай Фоменко,Барри Бондс,Владимир Евгеньевич Турчинский,"Иодис, Полина Яновна",Владимир Евгеньевич Турчинский,Николай Фоменко
Ронда Раузи,Дейв Батиста,Джои Келли,Владимир Владимирович Кличко,Владимир Владимирович Кличко,Дейв Батиста
Николай Фоменко,Барри Бондс,Владимир Евгеньевич Турчинский,"Иодис, Полина Яновна",Владимир Евгеньевич Турчинский,Николай Фоменко
Владимир Владимирович Кличко,Барри Бондс,Олег Николаевич Тактаров,Густав Шварценеггер,Владимир Владимирович Кличко,Барри Бондс
Катерина Владимировна Тихонова,Николай Фоменко,Олег Николаевич Тактаров,Раймонд ван Барневельд,Олег Николаевич Тактаров,Николай Фоменко
"Иодис, Полина Яновна",Брендон Керри,Тайсон Фьюри,Николай Фоменко,Тайсон Фьюри,Николай Фоменко
"Иодис, Полина Яновна",Брендон Керри,Тайсон Фьюри,Николай Фоменко,Тайсон Фьюри,Николай Фоменко
Джои Келли,"Холл, Кевин Питер",Олег Николаевич Тактаров,Дейв Батиста,Олег Николаевич Тактаров,"Холл, Кевин Питер"
"Шумахер, Тони",Джои Келли,Ронда Раузи,Тайсон Фьюри,Тайсон Фьюри,Ронда Раузи
Джои Келли,"Холл, Кевин Питер",Олег Николаевич Тактаров,Дейв Батиста,Джои Келли,"Холл, Кевин Питер"
"Шумахер, Тони",Джои Келли,Ронда Раузи,Тайсон Фьюри,"Шумахер, Тони",Ронда Раузи
"Шумахер, Тони",Джои Келли,Ронда Раузи,Тайсон Фьюри,"Шумахер, Тони",Джои Келли
Джои Келли,"Холл, Кевин Питер",Олег Николаевич Тактаров,Дейв Батиста,Олег Николаевич Тактаров,"Холл, Кевин Питер"
Катерина Владимировна Тихонова,Тайсон Фьюри,Барри Бондс,"Холл, Кевин Питер",Тайсон Фьюри,"Холл, Кевин Питер"
Катерина Владимировна Тихонова,Тайсон Фьюри,Барри Бондс,"Холл, Кевин Питер",Тайсон Фьюри,"Холл, Кевин Питер"
Катерина Владимировна Тихонова,Тайсон Фьюри,Барри Бондс,"Холл, Кевин Питер",Тайсон Фьюри,Катерина Владимировна Тихонова
"Холл, Кевин Питер","Иодис, Полина Яновна",Густав Шварценеггер,Николай Фоменко,"Холл, Кевин Питер",Николай Фоменко
"Холл, Кевин Питер","Иодис, Полина Яновна",Густав Шварценеггер,Николай Фоменко,"Иодис, Полина Яновна",Николай Фоменко
Ронда Раузи,Дейв Батиста,Джои Келли,Владимир Владимирович Кличко,Ронда Раузи,Владимир Владимирович Кличко
Ронда Раузи,Дейв Батиста,Джои Келли,Владимир Владимирович Кличко,Владимир Владимирович Кличко,Дейв Батиста
Владимир Владимирович Кличко,Барри Бондс,Олег Николаевич Тактаров,Густав Шварценеггер,Барри Бондс,Владимир Владимирович Кличко
Раймонд ван Барневельд,"Холл, Кевин Питер",Брендон Керри,Джет Ли,"Холл, Кевин Питер",Джет Ли
Владимир Владимирович Кличко,Барри Бондс,Олег Николаевич Тактаров,Густав Шварценеггер,Барри Бондс,Владимир Владимирович Кличко
Владимир Владимирович Кличко,Барри Бондс,Олег Николаевич Тактаров,Густав Шварценеггер,Владимир Владимирович Кличко,Густав Шварценеггер
Николай Фоменко,Барри Бондс,Владимир Евгеньевич Турчинский,"Иодис, Полина Яновна",Владимир Евгеньевич Турчинский,"Иодис, Полина Яновна"
Владимир Владимирович Кличко,Барри Бондс,Олег Николаевич Тактаров,Густав Шварценеггер,Владимир Владимирович Кличко,Густав Шварценеггер
Владимир Владимирович Кличко,Барри Бондс,Олег Николаевич Тактаров,Густав Шварценеггер,Владимир Владимирович Кличко,Густав Шварценеггер
Ронда Раузи,Дейв Батиста,Джои Келли,Владимир Владимирович Кличко,Владимир Владимирович Кличко,Дейв Батиста
Катерина Владимировна Тихонова,Николай Фоменко,Олег Николаевич Тактаров,Раймонд ван Барневельд,Катерина Владимировна Тихонова,Николай Фоменко
Катерина Владимировна Тихонова,Николай Фоменко,Олег Николаевич Тактаров,Раймонд ван Барневельд,Олег Николаевич Тактаров,Катерина Владимировна Тихонова
Катерина Владимировна Тихонова,Николай Фоменко,Олег Николаевич Тактаров,Раймонд ван Барневельд,Катерина Владимировна Тихонова,Раймонд ван Барневельд
Катерина Владимировна Тихонова,Николай Фоменко,Олег Николаевич Тактаров,Раймонд ван Барневельд,Раймонд ван Барневельд,Николай Фоменко
Катерина Владимировна Тихонова,Николай Фоменко,Олег Николаевич Тактаров,Раймонд ван Барневельд,Николай Фоменко,Раймонд ван Барневельд
"Холл, Кевин Питер","Иодис, Полина Яновна",Густав Шварценеггер,Николай Фоменко,Густав Шварценеггер,Николай Фоменко
