Item1,Item2,Item3,Item4,BestItem,WorstItem
Валентина Николаевна Тазекенова,Леонард Эйлер,Юрий Михайлович Лужков,Человек-паук,Леонард Эйлер,Человек-паук
Валентина Николаевна Тазекенова,Леонард Эйлер,Юрий Михайлович Лужков,Человек-паук,Леонард Эйлер,Человек-паук
Доктор,Макс Борн,"Лог, Лайонел",Леонардо да Винчи,Леонардо да Винчи,Доктор
Доктор,Макс Борн,"Лог, Лайонел",Леонардо да Винчи,Доктор,Макс Борн
Доктор,Макс Борн,"Лог, Лайонел",Леонардо да Винчи,Макс Борн,Доктор
Доктор,Макс Борн,"Лог, Лайонел",Леонардо да Винчи,Леонардо да Винчи,Доктор
Человек-паук,Операция «Скрепка»,"Франкенштейн, или Современный Прометей",Макс Борн,Макс Борн,Человек-паук
Человек-паук,Операция «Скрепка»,"Франкенштейн, или Современный Прометей",Макс Борн,Макс Борн,Человек-паук
Человек-паук,Операция «Скрепка»,"Франкенштейн, или Современный Прометей",Макс Борн,"Франкенштейн, или Современный Прометей",Человек-паук
Зак Снайдер,Леонард Эйлер,"Франкенштейн, или Современный Прометей",наука,Леонард Эйлер,Зак Снайдер
Зак Снайдер,Леонард Эйлер,"Франкенштейн, или Современный Прометей",наука,Леонард Эйлер,"Франкенштейн, или Современный Прометей"
Зак Снайдер,Леонард Эйлер,"Франкенштейн, или Современный Прометей",наука,Леонард Эйлер,наука
Галилео Галилей,Операция «Скрепка»,научный метод,"Лог, Лайонел",Галилео Галилей,Операция «Скрепка»
Александр фон Гумбольдт,"Лог, Лайонел",Галилео Галилей,Зак Снайдер,Галилео Галилей,Зак Снайдер
Александр фон Гумбольдт,"Лог, Лайонел",Галилео Галилей,Зак Снайдер,Галилео Галилей,Зак Снайдер
Александр фон Гумбольдт,"Лог, Лайонел",Галилео Галилей,Зак Снайдер,Галилео Галилей,Александр фон Гумбольдт
Александр фон Гумбольдт,"Лог, Лайонел",Галилео Галилей,Зак Снайдер,Галилео Галилей,Зак Снайдер
