Item1,Item2,Item3,Item4,BestItem,WorstItem
Мао Цзэдун,Александр Гельевич Дугин,Фёдор Михайлович Достоевский,Карл Маркс,Карл Маркс,Фёдор Михайлович Достоевский
Марк Аврелий,Фёдор Михайлович Достоевский,Карл Маркс,Махатма Ганди,Фёдор Михайлович Достоевский,Марк Аврелий
Марк Аврелий,Фёдор Михайлович Достоевский,Карл Маркс,Махатма Ганди,Марк Аврелий,Фёдор Михайлович Достоевский
Фёдор Михайлович Достоевский,Ричард Харрис,Томас Джефферсон,Александр Гельевич Дугин,Александр Гельевич Дугин,Фёдор Михайлович Достоевский
Бенедикт XVI,Фёдор Михайлович Достоевский,Томас Джефферсон,Лев Николаевич Толстой,Томас Джефферсон,Бенедикт XVI
Фёдор Михайлович Достоевский,Ричард Харрис,Томас Джефферсон,Александр Гельевич Дугин,Томас Джефферсон,Александр Гельевич Дугин
Александр Гельевич Дугин,Махатма Ганди,Карл Маркс,Александр Гамильтон,Карл Маркс,Александр Гельевич Дугин
Бенедикт XVI,Фёдор Михайлович Достоевский,Томас Джефферсон,Лев Николаевич Толстой,Фёдор Михайлович Достоевский,Бенедикт XVI
Александр Гельевич Дугин,Махатма Ганди,Карл Маркс,Александр Гамильтон,Махатма Ганди,Александр Гельевич Дугин
Ричард Харрис,Иоанн Павел II,Александр Гамильтон,Махатма Ганди,Махатма Ганди,Иоанн Павел II
Ричард Харрис,Иоанн Павел II,Александр Гамильтон,Махатма Ганди,Махатма Ганди,Иоанн Павел II
Ричард Харрис,Иоанн Павел II,Александр Гамильтон,Махатма Ганди,Александр Гамильтон,Ричард Харрис
Мао Цзэдун,Александр Гельевич Дугин,Фёдор Михайлович Достоевский,Карл Маркс,Карл Маркс,Александр Гельевич Дугин
Мао Цзэдун,Александр Гельевич Дугин,Фёдор Михайлович Достоевский,Карл Маркс,Карл Маркс,Мао Цзэдун
Мао Цзэдун,Александр Гельевич Дугин,Фёдор Михайлович Достоевский,Карл Маркс,Мао Цзэдун,Фёдор Михайлович Достоевский
Мао Цзэдун,Александр Гельевич Дугин,Фёдор Михайлович Достоевский,Карл Маркс,Фёдор Михайлович Достоевский,Карл Маркс
Марк Аврелий,Фёдор Михайлович Достоевский,Карл Маркс,Махатма Ганди,Карл Маркс,Марк Аврелий
Марк Аврелий,Фёдор Михайлович Достоевский,Карл Маркс,Махатма Ганди,Махатма Ганди,Фёдор Михайлович Достоевский
Марк Аврелий,Фёдор Михайлович Достоевский,Карл Маркс,Махатма Ганди,Марк Аврелий,Махатма Ганди
Марк Аврелий,Фёдор Михайлович Достоевский,Карл Маркс,Махатма Ганди,Махатма Ганди,Карл Маркс
Александр Гельевич Дугин,Махатма Ганди,Карл Маркс,Александр Гамильтон,Махатма Ганди,Александр Гельевич Дугин
Бенедикт XVI,Фёдор Михайлович Достоевский,Томас Джефферсон,Лев Николаевич Толстой,Фёдор Михайлович Достоевский,Бенедикт XVI
Фёдор Михайлович Достоевский,Ричард Харрис,Томас Джефферсон,Александр Гельевич Дугин,Фёдор Михайлович Достоевский,Александр Гельевич Дугин
Бенедикт XVI,Фёдор Михайлович Достоевский,Томас Джефферсон,Лев Николаевич Толстой,Фёдор Михайлович Достоевский,Томас Джефферсон
Александр Гельевич Дугин,Махатма Ганди,Карл Маркс,Александр Гамильтон,Александр Гельевич Дугин,Александр Гамильтон
Бенедикт XVI,Фёдор Михайлович Достоевский,Томас Джефферсон,Лев Николаевич Толстой,Томас Джефферсон,Лев Николаевич Толстой
Фёдор Михайлович Достоевский,Ричард Харрис,Томас Джефферсон,Александр Гельевич Дугин,Александр Гельевич Дугин,Томас Джефферсон
