Item1,Item2,Item3,Item4,BestItem,WorstItem
Багдадский вор,Обыкновенное чудо,Красавица и Чудовище,Арабелла,Красавица и Чудовище,Багдадский вор
Багдадский вор,Обыкновенное чудо,Красавица и Чудовище,Арабелла,Багдадский вор,Обыкновенное чудо
Лиловый шар,Морозко,Золушка,Вечера на хуторе близ Диканьки,Вечера на хуторе близ Диканьки,Лиловый шар
Лиловый шар,Морозко,Золушка,Вечера на хуторе близ Диканьки,Золушка,Лиловый шар
Лиловый шар,Морозко,Золушка,Вечера на хуторе близ Диканьки,Морозко,Лиловый шар
Три орешка для Золушки,Приключения Паддингтона,Вечера на хуторе близ Диканьки,Я тоже хочу,Приключения Паддингтона,Я тоже хочу
Три орешка для Золушки,Приключения Паддингтона,Вечера на хуторе близ Диканьки,Я тоже хочу,Три орешка для Золушки,Я тоже хочу
Три орешка для Золушки,Багдадский вор,Обыкновенное чудо,Приключения Паддингтона,Три орешка для Золушки,Обыкновенное чудо
Три орешка для Золушки,Багдадский вор,Обыкновенное чудо,Приключения Паддингтона,Приключения Паддингтона,Багдадский вор
Приключения Паддингтона,Русалочка,Лиловый шар,Коралина в Стране Кошмаров,Русалочка,Коралина в Стране Кошмаров
Приключения Паддингтона,Русалочка,Лиловый шар,Коралина в Стране Кошмаров,Русалочка,Коралина в Стране Кошмаров
Приключения Паддингтона,Русалочка,Лиловый шар,Коралина в Стране Кошмаров,Русалочка,Лиловый шар
Вечера на хуторе близ Диканьки,Красавица и Чудовище,Коралина в Стране Кошмаров,Лиловый шар,Красавица и Чудовище,Коралина в Стране Кошмаров
Вечера на хуторе близ Диканьки,Красавица и Чудовище,Коралина в Стране Кошмаров,Лиловый шар,Красавица и Чудовище,Вечера на хуторе близ Диканьки
Приключения Паддингтона,Вечера на хуторе близ Диканьки,Лиловый шар,Три орешка для Золушки,Вечера на хуторе близ Диканьки,Лиловый шар
Красавица и Чудовище,Арабелла,Лиловый шар,Морозко,Морозко,Лиловый шар
Красавица и Чудовище,Арабелла,Лиловый шар,Морозко,Красавица и Чудовище,Лиловый шар
Красавица и Чудовище,Арабелла,Лиловый шар,Морозко,Морозко,Лиловый шар
Три орешка для Золушки,"Мэри Поппинс, до свидания!",Маленький Мук,Я тоже хочу,Три орешка для Золушки,Я тоже хочу
Вечера на хуторе близ Диканьки,Цветок тысяча одной ночи,Три орешка для Золушки,Маленький Мук,Три орешка для Золушки,Цветок тысяча одной ночи
Три орешка для Золушки,"Мэри Поппинс, до свидания!",Маленький Мук,Я тоже хочу,Три орешка для Золушки,Я тоже хочу
Вечера на хуторе близ Диканьки,Цветок тысяча одной ночи,Три орешка для Золушки,Маленький Мук,Маленький Мук,Вечера на хуторе близ Диканьки
Вечера на хуторе близ Диканьки,Цветок тысяча одной ночи,Три орешка для Золушки,Маленький Мук,Маленький Мук,Вечера на хуторе близ Диканьки
Три орешка для Золушки,"Мэри Поппинс, до свидания!",Маленький Мук,Я тоже хочу,"Мэри Поппинс, до свидания!",Я тоже хочу
Багдадский вор,Обыкновенное чудо,Красавица и Чудовище,Арабелла,Красавица и Чудовище,Арабелла
Багдадский вор,Обыкновенное чудо,Красавица и Чудовище,Арабелла,Красавица и Чудовище,Обыкновенное чудо
Багдадский вор,Обыкновенное чудо,Красавица и Чудовище,Арабелла,Обыкновенное чудо,Арабелла
Лиловый шар,Морозко,Золушка,Вечера на хуторе близ Диканьки,Морозко,Вечера на хуторе близ Диканьки
Лиловый шар,Морозко,Золушка,Вечера на хуторе близ Диканьки,Морозко,Лиловый шар
