Item1,Item2,Item3,Item4,BestItem,WorstItem
Техас,Флорида,Вайоминг,Нью-Йорк,Техас,Нью-Йорк
Техас,Флорида,Вайоминг,Нью-Йорк,Вайоминг,Нью-Йорк
Техас,Флорида,Вайоминг,Нью-Йорк,Флорида,Техас
Техас,Флорида,Вайоминг,Нью-Йорк,Техас,Вайоминг
Техас,Флорида,Вайоминг,Нью-Йорк,Нью-Йорк,Вайоминг
Техас,Флорида,Вайоминг,Нью-Йорк,Нью-Йорк,Вайоминг
Вайоминг,Аляска,Джорджия,Массачусетс,Аляска,Массачусетс
Вайоминг,Аляска,Джорджия,Массачусетс,Джорджия,Аляска
Флорида,Висконсин,Гавайи,Виргиния,Флорида,Висконсин
Вайоминг,Аляска,Джорджия,Массачусетс,Массачусетс,Аляска
Флорида,Висконсин,Гавайи,Виргиния,Флорида,Виргиния
Флорида,Висконсин,Гавайи,Виргиния,Флорида,Гавайи
Нью-Йорк,Гавайи,Калифорния,Вашингтон,Вашингтон,Гавайи
Нью-Йорк,Гавайи,Калифорния,Вашингтон,Вашингтон,Гавайи
Колорадо,Массачусетс,Миссури,Монтана,Колорадо,Миссури
Колорадо,Массачусетс,Миссури,Монтана,Массачусетс,Монтана
Колорадо,Пенсильвания,Аляска,Техас,Техас,Аляска
Кентукки,Вайоминг,Пенсильвания,Массачусетс,Пенсильвания,Кентукки
Колорадо,Пенсильвания,Аляска,Техас,Аляска,Пенсильвания
Висконсин,Джорджия,Пенсильвания,Монтана,Джорджия,Висконсин
Колорадо,Массачусетс,Миссури,Монтана,Массачусетс,Монтана
Кентукки,Вайоминг,Пенсильвания,Массачусетс,Вайоминг,Кентукки
Кентукки,Вайоминг,Пенсильвания,Массачусетс,Кентукки,Пенсильвания
Кентукки,Вайоминг,Пенсильвания,Массачусетс,Массачусетс,Вайоминг
Флорида,Калифорния,Нью-Йорк,Пенсильвания,Флорида,Нью-Йорк
Флорида,Калифорния,Нью-Йорк,Пенсильвания,Калифорния,Нью-Йорк
Массачусетс,Висконсин,Калифорния,Техас,Техас,Висконсин
Массачусетс,Висконсин,Калифорния,Техас,Калифорния,Висконсин
Массачусетс,Висконсин,Калифорния,Техас,Калифорния,Висконсин
Вашингтон,Вайоминг,Пенсильвания,Монтана,Вашингтон,Монтана
Вашингтон,Вайоминг,Пенсильвания,Монтана,Вашингтон,Вайоминг
Вашингтон,Вайоминг,Пенсильвания,Монтана,Вашингтон,Монтана
Вашингтон,Вайоминг,Пенсильвания,Монтана,Вашингтон,Вайоминг
Вайоминг,Аляска,Джорджия,Массачусетс,Аляска,Вайоминг
Вайоминг,Аляска,Джорджия,Массачусетс,Массачусетс,Вайоминг
Флорида,Висконсин,Гавайи,Виргиния,Флорида,Висконсин
Флорида,Висконсин,Гавайи,Виргиния,Флорида,Виргиния
Нью-Йорк,Гавайи,Калифорния,Вашингтон,Калифорния,Вашингтон
Флорида,Висконсин,Гавайи,Виргиния,Флорида,Гавайи
Нью-Йорк,Гавайи,Калифорния,Вашингтон,Нью-Йорк,Гавайи
