Item1,Item2,Item3,Item4,BestItem,WorstItem
Гельмут Шмидт,Елена Кравец,"Шверин фон Крозиг, Людвиг",Ринат Леонидович Ахметов,Елена Кравец,Гельмут Шмидт
Гельмут Шмидт,Елена Кравец,"Шверин фон Крозиг, Людвиг",Ринат Леонидович Ахметов,Ринат Леонидович Ахметов,"Шверин фон Крозиг, Людвиг"
Гельмут Шмидт,Елена Кравец,"Шверин фон Крозиг, Людвиг",Ринат Леонидович Ахметов,Гельмут Шмидт,Ринат Леонидович Ахметов
Эдуардо Саверин,Леонид Макарович Кравчук,Гельмут Шмидт,Михаил Сергеевич Горбачёв,Гельмут Шмидт,Михаил Сергеевич Горбачёв
Эдуардо Саверин,Леонид Макарович Кравчук,Гельмут Шмидт,Михаил Сергеевич Горбачёв,Михаил Сергеевич Горбачёв,Леонид Макарович Кравчук
Эдуардо Саверин,Леонид Макарович Кравчук,Гельмут Шмидт,Михаил Сергеевич Горбачёв,Леонид Макарович Кравчук,Эдуардо Саверин
Гельмут Шмидт,Елена Кравец,"Шверин фон Крозиг, Людвиг",Ринат Леонидович Ахметов,Гельмут Шмидт,Елена Кравец
Эдуардо Саверин,Леонид Макарович Кравчук,Гельмут Шмидт,Михаил Сергеевич Горбачёв,Михаил Сергеевич Горбачёв,Леонид Макарович Кравчук
Гельмут Шмидт,Елена Кравец,"Шверин фон Крозиг, Людвиг",Ринат Леонидович Ахметов,Ринат Леонидович Ахметов,Елена Кравец
Эдуардо Саверин,Леонид Макарович Кравчук,Гельмут Шмидт,Михаил Сергеевич Горбачёв,Леонид Макарович Кравчук,Михаил Сергеевич Горбачёв
Гельмут Шмидт,Елена Кравец,"Шверин фон Крозиг, Людвиг",Ринат Леонидович Ахметов,Гельмут Шмидт,Елена Кравец
Эдуардо Саверин,Леонид Макарович Кравчук,Гельмут Шмидт,Михаил Сергеевич Горбачёв,Гельмут Шмидт,Михаил Сергеевич Горбачёв
Леонид Макарович Кравчук,Ринат Леонидович Ахметов,Александр Валентинович Турчинов,Елена Кравец,Леонид Макарович Кравчук,Елена Кравец
Леонид Макарович Кравчук,Ринат Леонидович Ахметов,Александр Валентинович Турчинов,Елена Кравец,Ринат Леонидович Ахметов,Леонид Макарович Кравчук
Леонид Макарович Кравчук,Ринат Леонидович Ахметов,Александр Валентинович Турчинов,Елена Кравец,Елена Кравец,Ринат Леонидович Ахметов
Леонид Макарович Кравчук,Ринат Леонидович Ахметов,Александр Валентинович Турчинов,Елена Кравец,Ринат Леонидович Ахметов,Елена Кравец
Эдуардо Саверин,Юлия Владимировна Тимошенко,Александр Гамильтон,Сергей Кужугетович Шойгу,Юлия Владимировна Тимошенко,Сергей Кужугетович Шойгу
Эдуардо Саверин,Юлия Владимировна Тимошенко,Александр Гамильтон,Сергей Кужугетович Шойгу,Александр Гамильтон,Юлия Владимировна Тимошенко
Эдуардо Саверин,Юлия Владимировна Тимошенко,Александр Гамильтон,Сергей Кужугетович Шойгу,Александр Гамильтон,Сергей Кужугетович Шойгу
Михаил Сергеевич Горбачёв,Гельмут Шмидт,Йенс Столтенберг,Эдуардо Саверин,Эдуардо Саверин,Михаил Сергеевич Горбачёв
Михаил Сергеевич Горбачёв,Гельмут Шмидт,Йенс Столтенберг,Эдуардо Саверин,Гельмут Шмидт,Йенс Столтенберг
Михаил Сергеевич Горбачёв,Гельмут Шмидт,Йенс Столтенберг,Эдуардо Саверин,Эдуардо Саверин,Михаил Сергеевич Горбачёв
Михаил Сергеевич Горбачёв,Гельмут Шмидт,Йенс Столтенберг,Эдуардо Саверин,Гельмут Шмидт,Йенс Столтенберг
Виктор Фёдорович Янукович,Сергей Кужугетович Шойгу,Джозеф Патрик Кеннеди,Михаил Владимирович Мишустин,Михаил Владимирович Мишустин,Сергей Кужугетович Шойгу
Виктор Фёдорович Янукович,Сергей Кужугетович Шойгу,Джозеф Патрик Кеннеди,Михаил Владимирович Мишустин,Михаил Владимирович Мишустин,Сергей Кужугетович Шойгу
Виктор Фёдорович Янукович,Сергей Кужугетович Шойгу,Джозеф Патрик Кеннеди,Михаил Владимирович Мишустин,Михаил Владимирович Мишустин,Сергей Кужугетович Шойгу
